TaskId,ZoneId,Category,ReferenceRecordCount,Priority,Status,RequiredTool,Acceptance,Dependencies,Notes
"dc487b7830b69acec071eac0928ad060","cell_-1_-1","BuildingExterior","6","P0","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 6 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"ab9be659231b1be630ecda854aa830cc","cell_-1_-1","ColliderOnly","2","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 2 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"d74ccfd998de805e415f5ab625328933","cell_-1_-2","Water","1","P1","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 1 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"fd01a53ed03093f3ec677970f07a60c0","cell_-1_-3","InteractivePropCandidate","4","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 4 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"84703a8b68b0926c8e8f599d96f90171","cell_-1_-3","StaticProp","1","P2","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 1 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"52f6880b03f208f171efc9913440f328","cell_-1_-4","BuildingExterior","2","P0","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 2 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"5aa9b607c6115aed24d8a62831acefb5","cell_-1_-4","ColliderOnly","3","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 3 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"7ddc35d1fe4fa69f30f94d454b303bdb","cell_-1_-4","InteractivePropCandidate","2","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 2 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"a8491cc4e55bf1b4112206cd3b2c6b68","cell_-1_-4","SpawnMarker","1","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 1 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"54e86573b1d9d2fbdc081d3fba0b8ba2","cell_-1_-4","UtilityPole","1","P1","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 1 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"bd5509874874ed1c2a2786bf76c5259a","cell_-1_-5","BuildingExterior","28","P0","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 28 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"ca17888229c493b8dbf1df17ca43aee6","cell_-1_-5","ColliderOnly","14","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 14 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"1b456c70c9ac5810f2993a8409f9d354","cell_-1_-5","Door","4","P1","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 4 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"c68493988cbbd2fcf22631c2378a12bc","cell_-1_-5","Floor","2","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 2 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"73558a230f78e20b215bcc31f385f193","cell_-1_-5","SpawnMarker","1","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 1 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"05576fcf48f54ae647e6505fc6a76862","cell_-1_0","BuildingExterior","1","P0","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 1 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"81e64305ce2442758974ba4054706322","cell_-1_0","ColliderOnly","3","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 3 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"b35894b6dbf488694d28d7343dedaa42","cell_-1_0","Door","3","P1","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 3 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"7c0a546b0ad09d014d66019ce12d97a2","cell_-1_0","Roof","6","P0","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 6 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"75c1e0d09d74b30c1edafc9213585008","cell_-1_0","StaticProp","14","P2","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 14 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"3b2086c6ae691a2f87c8c23f663f0fce","cell_-1_0","Window","1","P2","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 1 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"4e175ac8d7b5f8a275ced481139653ff","cell_-1_1","ColliderOnly","1","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 1 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"9f311ce28e08527c8eefc5d02bc60d8d","cell_-1_1","Door","4","P1","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 4 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"ee85ba2b7563dc4b9c05c3cfede3c5f0","cell_-1_1","Road","1","P0","Open","Unity terrain/spline authoring plus DCC review","Author, validate and bind 1 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"c9d05c78eb30ff80647d697aca5f2476","cell_-1_1","RoadSign","2","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 2 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"5229acb4057beffd43acfe6ff7c71954","cell_-1_1","Roof","4","P0","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 4 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"7131c957c204e9261fe9f513a15b59c4","cell_-1_1","StaticProp","8","P2","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 8 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"d330e4b0254347452ae735a632f22b52","cell_-2_-2","BuildingExterior","65","P0","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 65 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"c77518f35d9659abf6aa9342c6f1cb24","cell_-2_-2","BuildingInterior","2","P1","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 2 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"b67051c0e2d1d085d7d31e19cafbfc19","cell_-2_-2","ColliderOnly","42","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 42 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"04e0ea46e9052fda8cb2800c837c2924","cell_-2_-2","Door","1","P1","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 1 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"62e055df045497a637a2ab243627c8b3","cell_-2_-2","Floor","2","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 2 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"8851e5c197c02c6fbc3608533ec301ad","cell_-2_-2","InteractivePropCandidate","1","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 1 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"db5fb60c325df0e6ec3a676ca3bf59b8","cell_-2_-2","Roof","4","P0","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 4 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"71f66f03924a6fffb9df06a1643a8a20","cell_-2_-2","SpawnMarker","1","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 1 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"a69cdc316b06369f62585d73f80cf8c0","cell_-2_-2","Window","2","P2","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 2 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"86850acbd3dc314e34f9173e2392ba3f","cell_-2_-3","ColliderOnly","1","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 1 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"53dfb65b37bed48361e293f32a44716e","cell_-2_-3","InteractivePropCandidate","13","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 13 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"fc5b36cff8b36abd587ada0f8481d2c0","cell_-2_-4","BuildingExterior","2","P0","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 2 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"197ba2ee2d41218869c908cfd2f1fe50","cell_-2_-4","ColliderOnly","19","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 19 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"e4d74d252c2b5ad08b04de9702e8214f","cell_-2_-4","InteractivePropCandidate","75","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 75 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"fd532e56df8f2ebb58785ba2dd14656e","cell_-2_-4","Landmark","1","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 1 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"d26b2f17370f6e28557d66c8e6410800","cell_-2_-4","Roof","1","P0","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 1 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"4342108946be1e062e66c3ddd1c7afb1","cell_-2_-4","SpawnMarker","1","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 1 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"4af8bb19f07842b07b3b32a7de0a3002","cell_-2_-4","StaticProp","4","P2","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 4 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"23fd35727fc35694b091d5dabb749820","cell_-2_-4","UtilityPole","1","P1","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 1 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"d434512dd7b77f00098d1f8f03cdd2c3","cell_-2_-4","Window","2","P2","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 2 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"a72893a94a1ba79f6e8ee95509184abd","cell_-2_-5","ColliderOnly","2","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 2 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"985b639d7a5e9114a01757d84841ec0c","cell_-2_-5","RoadSign","2","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 2 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"af755276b2c46c3478d3d2deb7add508","cell_-2_-5","StaticProp","1","P2","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 1 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"c62bc68770ca89c4fcb3bc16a82ac82f","cell_-2_0","BuildingExterior","10","P0","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 10 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"33597b294f056e8345db76266652975c","cell_-2_0","ColliderOnly","6","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 6 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"11f58d19e38b3418e86c557b9f725d41","cell_-2_0","Door","5","P1","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 5 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"32531fbee93533da8918f0427b04a7f4","cell_-2_0","InteractivePropCandidate","6","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 6 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"4b3313ff5a869251e7266fd57a1638b1","cell_-2_0","Roof","8","P0","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 8 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"0234f7bc40971d2e83d0eab3a8f879f3","cell_-2_0","StaticProp","30","P2","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 30 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"77317eb50b2b79d05a17354321b262bb","cell_-2_1","ColliderOnly","1","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 1 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"74bd1f03f538c66921ba5b9fe96de765","cell_-2_1","Door","3","P1","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 3 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"5fb3873ea3f08c39c2b17494d89ec2e5","cell_-2_1","Roof","2","P0","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 2 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"f8518f23ed34ee12a89e23b2ba473bb6","cell_-2_1","StaticProp","8","P2","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 8 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"f4cc44d5724c6a8db516427ebf6d1304","cell_-2_1","Window","1","P2","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 1 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"cae32706e45b115a49c3885836fc9417","cell_-3_-1","Road","1","P0","Open","Unity terrain/spline authoring plus DCC review","Author, validate and bind 1 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"d05d431651bdd434b68451dedeaceaed","cell_-3_-1","RoadSign","12","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 12 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"399bc910d717ca500b096891aa8d4a06","cell_-3_-1","Rock","1","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 1 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"13f2c08230138bf89bff1cad747e9ab6","cell_-3_-1","UtilityPole","3","P1","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 3 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"42ae03a92c279eefe5718723a31ba54f","cell_-3_-2","Door","2","P1","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 2 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"7fbca5d2fb8a26a8dccb1d8dcdefab95","cell_-3_-2","Road","1","P0","Open","Unity terrain/spline authoring plus DCC review","Author, validate and bind 1 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"1c1f9053e33ac07b2ebc487d3d7cb9bf","cell_-3_-2","RoadSign","4","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 4 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"2abf5c92ef4b27233c2e93a10c8f32f1","cell_-3_-2","Roof","2","P0","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 2 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"c9d4782727d431ad009205845f17f0da","cell_-3_-2","StaticProp","2","P2","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 2 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"f9591a37fe8744b04406d525410acc6d","cell_-3_-3","ColliderOnly","6","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 6 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"0435ccb5ade47280c7ed01dee78cb12f","cell_-3_-3","Road","1","P0","Open","Unity terrain/spline authoring plus DCC review","Author, validate and bind 1 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"5466dd8023b3fafa7f21c049d4cd09e0","cell_-3_-3","RoadSign","12","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 12 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"27b404e5fb83f2486afc5c0c5f2d8de6","cell_-3_-3","SpawnMarker","1","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 1 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"9068f99540dec39ea1e0a0558ceb6a24","cell_-3_-3","StaticProp","2","P2","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 2 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"9d604d53ff89178665c88a5856923c6c","cell_-3_-3","UtilityPole","3","P1","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 3 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"d7a05f326e8c3efa88554f15f190afca","cell_-3_-4","BuildingExterior","31","P0","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 31 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"c990c0617269ba5b6ab41d0b52829e65","cell_-3_-4","BuildingInterior","1","P1","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 1 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"b8a99b063fd922e991afea6bf4ea5799","cell_-3_-4","ColliderOnly","25","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 25 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"433317f43d52b0fbc76033aa9c021421","cell_-3_-4","Door","3","P1","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 3 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"28441b14996b70578ff3a14f3ff6bbef","cell_-3_-4","InteractivePropCandidate","70","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 70 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"d067ce18233979dd109c1d32b72e2b97","cell_-3_-4","Road","2","P0","Open","Unity terrain/spline authoring plus DCC review","Author, validate and bind 2 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"47a17536db23273cac60ca4f361feb57","cell_-3_-4","RoadSign","18","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 18 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"381f7c5c3f1af42b3b807ae5646bfa4e","cell_-3_-4","Roof","5","P0","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 5 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"d0ab958a11094e79160e40e9e08f3e9e","cell_-3_-4","StaticProp","8","P2","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 8 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"2e656e247bb3923c4f5615097e0c277f","cell_-3_-4","UtilityPole","1","P1","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 1 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"cd11df69dc32567b15df3945e58b5cdd","cell_-3_-4","Window","2","P2","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 2 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"7e70cef378bfa7dd70a033c2bcc231cf","cell_-3_0","BuildingExterior","876","P0","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 876 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"8c72a01c149257afc7bfe28460b5ab37","cell_-3_0","BuildingInterior","22","P1","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 22 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"316d821deeff35d881d975eb56da4237","cell_-3_0","ColliderOnly","262","P3","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 262 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"383ccdd5969d2804815e45869aaccf5c","cell_-3_0","Door","34","P1","Open","Blender or equivalent DCC (not found in PATH during 05A pre-flight)","Author, validate and bind 34 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
"da326de0f14e25660284ab55bebabf19","cell_-3_0","Fence","18","P2","Open","Blender/Substance-equivalent manual art pass","Author, validate and bind 18 reference records without donor runtime dependencies.","World replacement registry; donor reference metadata","Grouped manual-art task; every unassigned ledger row links to this task ID."
