ZoneId,ReferenceRecordCount,MappedRecordCount,CoveragePercent,ReplacementStatus,AutomatedValidation,ManualValidation,ProductionCellPath,Notes
"cell_3_-4","57","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_3_-5","23","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_3_0","1","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_4_-2","3","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_4_-3","44","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_4_-4","1","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_4_-5","4","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_4_1","1","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"cell_5_-2","1","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
"excluded","9667","0","0.000","ReferenceOnly","ReferenceClassificationPass","NotStarted","","Not a streaming cell; retained for registry completeness."
"global","31","0","0.000","Unassigned","RegistryPass","NotStarted","","Awaiting a later zone batch."
