"AudioEventId","Domain","RuntimeProducer","WwiseEventName","Bank","Spatialization","Lifecycle","HookStatus","AuthoringStatus","ContentStatus","Notes"
"audio.event.weather.thunder.distant","Weather","No current producer","Play_MSC_Weather_Thunder_Distant","MSC_Weather","3D world position","OneShot","DeferredHook","WwiseAuthoringVerified","NoFinalContent","Declared for future variation selection; current presenter does not post it."
"audio.event.weather.thunder.strike","Weather","No current producer","Play_MSC_Weather_Thunder_Strike","MSC_Weather","3D world position","OneShot","DeferredHook","WwiseAuthoringVerified","NoFinalContent","Declared for future close-strike variation; current presenter does not post it."
"audio.event.world.forest.ambience","World","Compatibility alias only; phase-specific events are authoritative","Play_MSC_World_Forest_Ambience","MSC_World","Zone/3D","Loop","CompatibilityHook","WwiseAuthoringVerified","TemporaryPrototypeOnly","Retained stable ID; WorldAmbientAudioPresenter posts the explicit donor morning/day/evening/night layers instead."
"audio.event.world.lake.ambience","World","WorldAmbientAudioPresenter","Play_MSC_World_Lake_Ambience","MSC_World","3D world positions","LoopHandle","RuntimeMapped","WwiseAuthoringVerified","TemporaryDirectImport","Three donor-evidenced shoreline emitters use explicit project coordinates and 150 m range."
"audio.event.world.birds.morning","World","WorldAmbientAudioPresenter","Play_MSC_World_Birds_Morning","MSC_World","3D world position","LoopHandle","RuntimeMapped","WwiseAuthoringVerified","TemporaryDirectImport","Active 06:00-12:00; rain/wind suppressed; original birds_morning.ogg contains its full donor call sequence."
"audio.event.world.birds.day","World","WorldAmbientAudioPresenter","Play_MSC_World_Birds_Day","MSC_World","3D world position","LoopHandle","RuntimeMapped","WwiseAuthoringVerified","TemporaryDirectImport","Active 12:00-18:00; rain/wind suppressed; replaces the earlier listener-relative day-only bed."
"audio.event.world.birds.evening","World","WorldAmbientAudioPresenter","Play_MSC_World_Birds_Evening","MSC_World","3D world position","LoopHandle","RuntimeMapped","WwiseAuthoringVerified","TemporaryDirectImport","Active 18:00-24:00; rain/wind suppressed."
"audio.event.world.birds.night","World","WorldAmbientAudioPresenter","Play_MSC_World_Birds_Night","MSC_World","3D world position","LoopHandle","RuntimeMapped","WwiseAuthoringVerified","TemporaryDirectImport","Active 00:00-06:00; rain/wind suppressed."
"audio.event.world.birds.swamp","World","WorldAmbientAudioPresenter","Play_MSC_World_Birds_Swamp","MSC_World","3D world positions","LoopHandle","RuntimeMapped","WwiseAuthoringVerified","TemporaryDirectImport","Separate morning and evening swamp emitters retain donor positions."
"audio.event.world.meadow","World","WorldAmbientAudioPresenter","Play_MSC_World_Meadow","MSC_World","3D world position","LoopHandle","RuntimeMapped","WwiseAuthoringVerified","TemporaryDirectImport","Daytime meadow loop at the donor-evidenced position; rain/wind suppressed."
"audio.event.world.dog","World","WorldAmbientAudioPresenter","Play_MSC_World_Dog","MSC_World","3D world position","LoopHandle","RuntimeMapped","WwiseAuthoringVerified","TemporaryDirectImport","Always eligible distant dog source with weather attenuation."
"audio.event.world.chainsaw","World","WorldAmbientAudioPresenter","Play_MSC_World_Chainsaw","MSC_World","3D world position near player home","RareOneShot","RuntimeMapped","WwiseAuthoringVerified","TemporaryDirectImport","Project correction: fair weather 08:00-18:30, initial 5-15 min, then 15-35 min; intentionally much rarer than donor loop metadata."
"audio.event.world.wind_chime","World","No unconditional producer; gameplay object hook","Play_MSC_World_Wind_Chime","MSC_World","3D emitter","LoopHandle","GameplayHookOnly","WwiseAuthoringVerified","TemporaryDirectImport","Donor DINGONBIISI/Mover source is inactive in the base scene; do not auto-start as global ambience."
"audio.event.world.mosquito","World","No unconditional producer; gameplay insect hook","Play_MSC_World_Mosquito","MSC_World","3D emitter","LoopHandle","GameplayHookOnly","WwiseAuthoringVerified","TemporaryDirectImport","Imported for the matching local gameplay source, not global ambience."
"audio.event.world.fly","World","No unconditional producer; gameplay insect hook","Play_MSC_World_Fly","MSC_World","3D emitter","LoopHandle","GameplayHookOnly","WwiseAuthoringVerified","TemporaryDirectImport","Imported for the matching local gameplay source, not global ambience."
"audio.event.world.fly.variant","World","No unconditional producer; gameplay insect hook","Play_MSC_World_Fly_Variant","MSC_World","3D emitter","LoopHandle","GameplayHookOnly","WwiseAuthoringVerified","TemporaryDirectImport","Imported fly2 variation for the matching local gameplay source."
"audio.event.world.wasp","World","No unconditional producer; gameplay insect hook","Play_MSC_World_Wasp","MSC_World","3D emitter","LoopHandle","GameplayHookOnly","WwiseAuthoringVerified","TemporaryDirectImport","Imported wasp_fly2 for the matching local gameplay source."
"audio.event.world.garage.roomtone","World","No production zone composition","Play_MSC_World_Garage_RoomTone","MSC_World","Zone","Loop","DeferredHook","WwiseAuthoringVerified","NoFinalContent","Zone metadata exists; no production emitter is claimed."
"audio.event.world.interior.roomtone","World","No production zone composition","Play_MSC_World_Interior_RoomTone","MSC_World","Zone","Loop","DeferredHook","WwiseAuthoringVerified","NoFinalContent","Generic future room-tone hook."
"audio.event.interaction.pickup","Interaction","InteractionAudioBridge","Play_MSC_Interaction_Pickup","MSC_Interaction","3D emitter","OneShot","RuntimeMapped","WwiseAuthoringVerified","TemporaryPrototypeOnly","Posted only after completed typed action."
"audio.event.interaction.drop","Interaction","InteractionAudioBridge","Play_MSC_Interaction_Drop","MSC_Interaction","3D emitter","OneShot","RuntimeMapped","WwiseAuthoringVerified","TemporaryPrototypeOnly","Impact intensity is project parameter."
"audio.event.interaction.throw","Interaction","InteractionAudioBridge","Play_MSC_Interaction_Throw","MSC_Interaction","3D emitter","OneShot","RuntimeMapped","WwiseAuthoringVerified","TemporaryPrototypeOnly","Posted only after completed typed action."
"audio.event.interaction.place","Interaction","InteractionAudioBridge","Play_MSC_Interaction_Place","MSC_Interaction","3D emitter","OneShot","RuntimeMapped","WwiseAuthoringVerified","TemporaryPrototypeOnly","Posted only after completed typed action."
"audio.event.interaction.mount_handoff","Interaction","InteractionAudioBridge","Play_MSC_Interaction_Mount_Handoff","MSC_Interaction","3D emitter","OneShot","RuntimeMapped","WwiseAuthoringVerified","TemporaryPrototypeOnly","Assembly authority is unchanged."
"audio.event.vehicle.transmission.loop","Vehicle","No current producer","Play_MSC_Vehicle_Transmission","MSC_Vehicle","3D emitter","Loop","DeferredHook","WwiseAuthoringVerified","NoFinalContent","Declared for later driveline mix; not posted by current vehicle adapter."
"audio.event.vehicle.body.rattle","Vehicle","No current producer","Play_MSC_Vehicle_Body_Rattle","MSC_Vehicle","3D emitter","Loop/triggered","DeferredHook","WwiseAuthoringVerified","NoFinalContent","Needs project damage/body state."
"audio.event.vehicle.suspension.impact","Vehicle","No current event producer","Play_MSC_Vehicle_Suspension_Impact","MSC_Vehicle","3D emitter","OneShot","DeferredHook","WwiseAuthoringVerified","NoFinalContent","RTPC envelope exists; one-shot threshold/cooldown is deferred."
"audio.event.vehicle.tire.skid","Vehicle","No current producer","Play_MSC_Vehicle_Tire_Skid","MSC_Vehicle","3D emitter","Loop","DeferredHook","WwiseAuthoringVerified","NoFinalContent","Wheel-slip RTPC exists; skid lifecycle is deferred."
"audio.event.world.distant_traffic","World","No current producer","Play_MSC_World_Distant_Traffic","MSC_World","Zone/3D","Loop","DeferredHook","WwiseAuthoringVerified","NoFinalContent","Traffic gameplay/population is deferred."
"audio.event.world.birds","World","Compatibility alias only; phase-specific events are authoritative","Play_MSC_World_Birds","MSC_World","Zone/3D","Loop/sequence","CompatibilityHook","WwiseAuthoringVerified","TemporaryPrototypeOnly","Retained stable ID; complete donor phase schedule uses the five explicit birds event IDs."
"audio.event.world.insects","World","No unconditional producer; compatibility gameplay hook","Play_MSC_World_Insects","MSC_World","3D emitter","LoopHandle","GameplayHookOnly","WwiseAuthoringVerified","TemporaryDirectImport","Currently targets the imported mosquito prototype; explicit mosquito/fly/wasp IDs support donor gameplay bindings."
"audio.event.interaction.impact","Interaction","PlayerLeanImpactAudioPresenter; interaction bridge","Play_MSC_Interaction_Impact","MSC_Interaction","3D emitter","OneShot","RuntimeMapped","WwiseAuthoringVerified","TemporaryPrototypeOnly","Running forward body-lean wall impact uses the shared player emitter and typed impact-intensity parameter; final impact/vocal content remains Phase 2 work."
"audio.event.interaction.tool.use","Interaction","No current producer","Play_MSC_Interaction_Tool_Use","MSC_Interaction","3D emitter","OneShot","DeferredHook","WwiseAuthoringVerified","NoFinalContent","Tool stable ID/capability will remain gameplay-owned."
"audio.event.interaction.fastener.insert","Interaction","No current producer","Play_MSC_Interaction_Fastener_Insert","MSC_Interaction","3D emitter","OneShot","DeferredHook","WwiseAuthoringVerified","NoFinalContent","Audio cannot authorize fastener state."
"audio.event.interaction.fastener.tighten","Interaction","No current producer","Play_MSC_Interaction_Fastener_Tighten","MSC_Interaction","3D emitter","OneShot/loop","DeferredHook","WwiseAuthoringVerified","NoFinalContent","Requires completed assembly notification."
"audio.event.interaction.fastener.loosen","Interaction","No current producer","Play_MSC_Interaction_Fastener_Loosen","MSC_Interaction","3D emitter","OneShot/loop","DeferredHook","WwiseAuthoringVerified","NoFinalContent","Requires completed assembly notification."
"audio.event.interaction.part.install","Interaction","No current producer","Play_MSC_Interaction_Part_Install","MSC_Interaction","3D emitter","OneShot","DeferredHook","WwiseAuthoringVerified","NoFinalContent","Mount result remains assembly-owned."
"audio.event.interaction.part.remove","Interaction","No current producer","Play_MSC_Interaction_Part_Remove","MSC_Interaction","3D emitter","OneShot","DeferredHook","WwiseAuthoringVerified","NoFinalContent","Removal result remains assembly-owned."
"audio.event.interaction.door.open","Interaction","No current producer","Play_MSC_Interaction_Door_Open","MSC_Interaction","3D emitter","OneShot","DeferredHook","WwiseAuthoringVerified","NoFinalContent","Future typed capability event."
"audio.event.interaction.door.close","Interaction","No current producer","Play_MSC_Interaction_Door_Close","MSC_Interaction","3D emitter","OneShot","DeferredHook","WwiseAuthoringVerified","NoFinalContent","Future typed capability event."
"audio.event.interaction.gate.open","Interaction","No current producer","Play_MSC_Interaction_Gate_Open","MSC_Interaction","3D emitter","OneShot","DeferredHook","WwiseAuthoringVerified","NoFinalContent","Future typed capability event."
"audio.event.interaction.gate.close","Interaction","No current producer","Play_MSC_Interaction_Gate_Close","MSC_Interaction","3D emitter","OneShot","DeferredHook","WwiseAuthoringVerified","NoFinalContent","Future typed capability event."
"audio.event.interaction.window.open","Interaction","No current producer","Play_MSC_Interaction_Window_Open","MSC_Interaction","3D emitter","OneShot","DeferredHook","WwiseAuthoringVerified","NoFinalContent","Future typed capability event."
"audio.event.interaction.window.close","Interaction","No current producer","Play_MSC_Interaction_Window_Close","MSC_Interaction","3D emitter","OneShot","DeferredHook","WwiseAuthoringVerified","NoFinalContent","Future typed capability event."
"audio.event.player.footstep","Player","PlayerFootstepAudioPresenter","Play_MSC_Player_Footstep","MSC_Interaction","3D player emitter","OneShot","RuntimeMapped","WwiseAuthoringVerified","TemporaryPrototypeOnly","Grounded XZ-distance cadence; typed surface metadata; teleport-safe reset."
"audio.event.ui.navigate","UI","No current producer","Play_MSC_UI_Navigate","MSC_UI","2D","OneShot","DeferredHook","WwiseAuthoringVerified","NewlyAuthoredRequired","Final UI/menu sound will not use donor gameplay audio."
"audio.event.ui.confirm","UI","No current producer","Play_MSC_UI_Confirm","MSC_UI","2D","OneShot","DeferredHook","WwiseAuthoringVerified","NewlyAuthoredRequired","Final UI/menu sound will not use donor gameplay audio."
"audio.event.ui.cancel","UI","No current producer","Play_MSC_UI_Cancel","MSC_UI","2D","OneShot","DeferredHook","WwiseAuthoringVerified","NewlyAuthoredRequired","Final UI/menu sound will not use donor gameplay audio."
"audio.event.ui.save.feedback","UI","No current producer","Play_MSC_UI_Save_Feedback","MSC_UI","2D","OneShot","DeferredHook","WwiseAuthoringVerified","NewlyAuthoredRequired","Must reflect the actual save result in later milestones."
"audio.event.ui.load.feedback","UI","No current producer","Play_MSC_UI_Load_Feedback","MSC_UI","2D","OneShot","DeferredHook","WwiseAuthoringVerified","NewlyAuthoredRequired","Must reflect the actual load result in later milestones."
"audio.event.traffic.jani.engine.loop","Vehicle","StoryTrafficVehicleAudioPresenter","Play_MSC_StoryTraffic_Jani_Engine","MSC_Vehicle","3D emitter; 3-65 m","PersistentLoop","RuntimeMapped","UnityFallbackVerified;WwiseAuthoringPending","TemporaryDirectImport","Hash-locked Jani donor loop; emitter-scoped vehicle RPM normalized parameter changes fallback pitch; survives wrapper streaming."
"audio.event.traffic.petteri.engine.loop","Vehicle","StoryTrafficVehicleAudioPresenter","Play_MSC_StoryTraffic_Petteri_Engine","MSC_Vehicle","3D emitter; 3-65 m","PersistentLoop","RuntimeMapped","UnityFallbackVerified;WwiseAuthoringPending","TemporaryDirectImport","Hash-locked Petteri donor loop; per-emitter RPM avoids cross-car fallback state."
"audio.event.traffic.jani.music","Music","StoryTrafficVehicleAudioPresenter","Play_MSC_StoryTraffic_Jani_Music","MSC_Vehicle","3D emitter; 3-55 m","PersistentLoop","RuntimeMapped","UnityFallbackVerified;WwiseAuthoringPending","TemporaryDirectImport","One hash-locked Amistekno track per active driving cycle; Petteri does not own this event."
"audio.event.traffic.jani.tire.skid","Vehicle","StoryTrafficVehicleAudioPresenter","Play_MSC_StoryTraffic_Jani_Skid","MSC_Vehicle","3D emitter; 2-45 m","DriftLoop","RuntimeMapped","UnityFallbackVerified;WwiseAuthoringPending","TemporaryDirectImport","Starts and stops on bounded drift state."
"audio.event.traffic.petteri.tire.skid","Vehicle","StoryTrafficVehicleAudioPresenter","Play_MSC_StoryTraffic_Petteri_Skid","MSC_Vehicle","3D emitter; 2-45 m","DriftLoop","RuntimeMapped","UnityFallbackVerified;WwiseAuthoringPending","TemporaryDirectImport","Starts and stops on bounded drift state."
"audio.event.traffic.jani.crash","Vehicle","StoryTrafficVehicleAudioPresenter","Play_MSC_StoryTraffic_Jani_Crash","MSC_Vehicle","3D emitter; 3-80 m","OneShot","RuntimeMapped","UnityFallbackVerified;WwiseAuthoringPending","TemporaryDirectImport","Posted once when actual contact crosses the locked 5 m/s threshold."
"audio.event.traffic.petteri.crash","Vehicle","StoryTrafficVehicleAudioPresenter","Play_MSC_StoryTraffic_Petteri_Crash","MSC_Vehicle","3D emitter; 3-80 m","OneShot","RuntimeMapped","UnityFallbackVerified;WwiseAuthoringPending","TemporaryDirectImport","Posted once when actual contact crosses the locked 5 m/s threshold."
