"StableId","Kind","Domain","ProjectSource","RangeOrValues","WwiseName","UpdatePolicy","HookStatus","AuthoringStatus","Notes"
"audio.switch.footstep.surface.gravel","SwitchValue","Player","AudioSurfaceKind.Gravel","Gravel","Gravel","Per emitted footstep","RuntimeMapped","WwiseAuthoringVerified","Two-variant random prototype family."
"audio.switch.footstep.surface.dirt","SwitchValue","Player","AudioSurfaceKind.Dirt","Dirt","Dirt","Per emitted footstep","RuntimeMapped","WwiseAuthoringVerified","Wwise prototype routes it to the forest family."
"audio.switch.footstep.surface.grass","SwitchValue","Player","AudioSurfaceKind.Grass","Grass","Grass","Per emitted footstep","RuntimeMapped","WwiseAuthoringVerified","Wwise prototype routes it to the forest family."
"audio.switch.footstep.surface.wood","SwitchValue","Player","AudioSurfaceKind.Wood","Wood","Wood","Per emitted footstep","RuntimeMapped","WwiseAuthoringVerified","Two-variant random prototype family."
"audio.switch.footstep.surface.concrete","SwitchValue","Player","AudioSurfaceKind.Concrete","Concrete","Concrete","Per emitted footstep","RuntimeMapped","WwiseAuthoringVerified","Two-variant random prototype family."
"audio.switch.footstep.surface.metal","SwitchValue","Player","AudioSurfaceKind.Metal","Metal","Metal","Per emitted footstep","RuntimeMapped","WwiseAuthoringVerified","Wwise prototype routes it to the concrete family."
"audio.switch.footstep.surface.wet","SwitchValue","Player","AudioSurfaceKind.Wet or wetness >= 0.5","Wet","Wet","Per emitted footstep","RuntimeMapped","WwiseAuthoringVerified","Two-variant wet prototype family."
"audio.state.environment","StateGroup","Listener","AudioEnvironmentContext.ListenerSpace","group","MSC_Environment","LateUpdate/on change","RuntimeMapped","WwiseAuthoringVerified","Explicit listener context."
"audio.state.environment.exterior","StateValue","Listener","AudioListenerSpace.Exterior","Exterior","Exterior","On context change","RuntimeMapped","WwiseAuthoringVerified","Default outside zones."
"audio.state.environment.sheltered","StateValue","Listener","AudioListenerSpace.Sheltered","Sheltered","Sheltered","On context change","RuntimeMapped","WwiseAuthoringVerified","Shelter zone."
"audio.state.environment.interior","StateValue","Listener","AudioListenerSpace.Interior","Interior","Interior","On context change","RuntimeMapped","WwiseAuthoringVerified","Interior zone."
"audio.state.environment.vehicle_interior","StateValue","Listener","AudioListenerSpace.VehicleInterior","VehicleInterior","VehicleInterior","On context change","RuntimeMapped","WwiseAuthoringVerified","Vehicle interior context."
"audio.state.day_phase","StateGroup","World","Normalized day time","group","MSC_Time_DayPhase","LateUpdate threshold","RuntimeMapped","WwiseAuthoringVerified","Current runtime is binary Day/Night."
"audio.state.day_phase.dawn","StateValue","World","No current mapping branch","Dawn","Dawn","Future threshold","DeferredHook","WwiseAuthoringVerified","Declared but current listener presenter is binary Day/Night."
"audio.state.day_phase.day","StateValue","World","day time [0.22,0.84)","Day","Day","At threshold","RuntimeMapped","WwiseAuthoringVerified","Project threshold."
"audio.state.day_phase.evening","StateValue","World","No current mapping branch","Evening","Evening","Future threshold","DeferredHook","WwiseAuthoringVerified","Declared but current listener presenter is binary Day/Night."
"audio.state.day_phase.night","StateValue","World","day time outside [0.22,0.84)","Night","Night","At threshold","RuntimeMapped","WwiseAuthoringVerified","Project threshold."
"audio.state.vehicle.engine","StateGroup","Vehicle","VehicleAudioParameters.EngineState","group","MSC_Vehicle_EngineState","FixedUpdate/on change","RuntimeMapped","WwiseAuthoringVerified","Simulation remains authoritative."
"audio.state.vehicle.engine.off","StateValue","Vehicle","VehicleAudioEngineState.Off","Off","Off","On state change","RuntimeMapped","WwiseAuthoringVerified","Typed state."
"audio.state.vehicle.engine.cranking","StateValue","Vehicle","VehicleAudioEngineState.Cranking","Cranking","Cranking","On state change","RuntimeMapped","WwiseAuthoringVerified","Typed state."
"audio.state.vehicle.engine.running","StateValue","Vehicle","VehicleAudioEngineState.Running","Running","Running","On state change","RuntimeMapped","WwiseAuthoringVerified","Typed state."
"audio.state.vehicle.engine.stalled","StateValue","Vehicle","VehicleAudioEngineState.Stalled","Stalled","Stalled","On state change","RuntimeMapped","WwiseAuthoringVerified","Typed state."
