"FeatureId","SaveDomainId","PersistentExpectation","CoverageStatus","SchemaOwner","CurrentImplementation","EvidenceOrReason","UnloadedCellPolicy","ReplacementPolicy","OwningMilestone","Notes"
"P1.PLAYER.007","player.state","Persistent","Partial","MSC.Player.Runtime + MSC.Save.Integration","Partial CharacterController traversal; pub passes and Teimo blocks","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Partial CharacterController traversal; pub passes and Teimo blocks; prior save evidence: None.","Immediate","NotApplicable","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.PLAYER.008","player.state","Persistent","Planned","MSC.Player.Runtime + MSC.Save.Integration","Current motor has simple gravity/isGrounded only","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","Immediate","NotApplicable","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.PLAYER.009","player.state","Persistent","Planned","MSC.Player.Runtime + MSC.Save.Integration","No unified locomotion state contract","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","Immediate","NotApplicable","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.PLAYER.010","player.state","Persistent","Partial","MSC.Player.Runtime + MSC.Save.Integration","Working bounded M04 Interaction prototype","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Working bounded M04 Interaction prototype; prior save evidence: None.","Immediate","NotApplicable","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.PLAYER.011","interaction.carry","Persistent","Partial","MSC.Interaction.Runtime + MSC.Save.Integration","Working bounded M04 Interaction prototype","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Working bounded M04 Interaction prototype; prior save evidence: Carry snapshot DTO only.","DeferredByStableId","StableIdPreserved","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.PLAYER.012","player.state","Persistent","Partial","MSC.Player.Runtime + MSC.Save.Integration","Working bounded M04 Interaction prototype","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Working bounded M04 Interaction prototype; prior save evidence: None.","Immediate","NotApplicable","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.PLAYER.013","player.state","Persistent","Planned","MSC.Player.Runtime + MSC.Save.Integration","Vehicle prototype input/session gates only","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","Immediate","NotApplicable","11A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.PLAYER.014","player.state","NonPersistent","NotRequired","MSC.Player.Runtime + MSC.Save.Integration","Nothing","Explicit non-persistent rationale from parity matrix: Non-persistent seated locomotion/presentation intent; resets on input, seat or opening-state changes. Mutable gameplay authority, when any, is owned by another save domain.","NotApplicable","NotApplicable","11A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.PLAYER.015","player.state","NonPersistent","NotRequired","MSC.Player.Runtime + MSC.Save.Integration","Nothing","Not in the locked donor version; no gameplay state may be invented or persisted. Source status: RejectedNotInLockedDonorVersion.","NotApplicable","NotApplicable","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.PLAYER.016","player.state","NonPersistent","NotRequired","MSC.Player.Runtime + MSC.Save.Integration","Project-owned PlayerVoiceReactionController and pure policy bind explicit input/needs/economy events to 16 swear plus 11 finger stable audio IDs; Controls route exposes baseline bindings and persisted rebinds","Explicit non-persistent rationale from parity matrix: Voice variant/one-second presentation lock intentionally non-persistent; authoritative stress uses player.needs schema 3 and economy rejection mutates no save state. Mutable gameplay authority, when any, is owned by another save domain.","NotApplicable","NotApplicable","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NEEDS.001","player.needs","Persistent","Planned","MSC.Needs.Runtime + MSC.Save.Integration","08A HUD placeholder only; no production provider","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","Immediate","NotApplicable","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NEEDS.002","player.needs","Persistent","Planned","MSC.Needs.Runtime + MSC.Save.Integration","08A HUD placeholder only; no production provider","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","Immediate","NotApplicable","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NEEDS.003","player.needs","Persistent","Partial","MSC.Needs.Runtime + MSC.Save.Integration","PlayerNeedsRuntime/provider/save/HUD exist; PlayerVoiceReactionController applies the evidenced -0.5 only through IPlayerNeedsEffectSink and observes the 100 threshold","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: PlayerNeedsRuntime/provider/save/HUD exist; PlayerVoiceReactionController applies the evidenced -0.5 only through IPlayerNeedsEffectSink and observes the 100 threshold; prior save evidence: player.needs schema 3; transient voice selection and cooldown intentionally not persisted.","Immediate","NotApplicable","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NEEDS.004","player.needs","Persistent","Partial","MSC.Needs.Runtime + MSC.Save.Integration","Project-owned fatigue progression, save state, HUD telemetry and HDRP low-cost blur/vignette presentation","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Project-owned fatigue progression, save state, HUD telemetry and HDRP low-cost blur/vignette presentation; prior save evidence: player.needs schema 3 + save document 5 migration.","Immediate","NotApplicable","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NEEDS.005","player.needs","Persistent","Planned","MSC.Needs.Runtime + MSC.Save.Integration","08A HUD placeholder only; no production provider","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","Immediate","NotApplicable","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NEEDS.006","player.needs","Persistent","Planned","MSC.Needs.Runtime + MSC.Save.Integration","08A HUD placeholder only; no production provider","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","Immediate","NotApplicable","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NEEDS.007","player.needs","Persistent","Partial","MSC.Needs.Runtime + MSC.Save.Integration","Project-owned delayed beer absorption, alcohol clearance and persistent provisional hangover; held beer now contributes effects continuously in proportion to consumed liquid","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Project-owned delayed beer absorption, alcohol clearance and persistent provisional hangover; held beer now contributes effects continuously in proportion to consumed liquid; prior save evidence: player.needs schema 3 + save document 5 migration; partial bottle content persists through item state.","Immediate","NotApplicable","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NEEDS.008","player.needs","Persistent","Planned","MSC.Needs.Runtime + MSC.Save.Integration","08A HUD placeholder only; no production provider","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","Immediate","NotApplicable","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NEEDS.009","player.needs","Persistent","Partial","MSC.Needs.Runtime + MSC.Save.Integration","First F on a usable world bottle picks up the real item into a transient use-ready hand pose without consuming it; the next held F drinks continuously, release pauses drinking while retaining the bottle","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: First F on a usable world bottle picks up the real item into a transient use-ready hand pose without consuming it; the next held F drinks continuously, release pauses drinking while retaining the bottle; prior save evidence: Partial liquid content and pending needs effects persist in existing item/player.needs schemas; transient use-ready presentation is intentionally not saved.","Immediate","NotApplicable","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NEEDS.010","player.needs","Persistent","Partial","MSC.Needs.Runtime + MSC.Save.Integration","Cigarette item consumes one of 20 units and queues provisional stress/fatigue effects","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Cigarette item consumes one of 20 units and queues provisional stress/fatigue effects; prior save evidence: items.instances + player.needs schema 3.","Immediate","NotApplicable","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NEEDS.011","player.needs","Persistent","Planned","MSC.Needs.Runtime + MSC.Save.Integration","08A HUD placeholder only; no production provider","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","Immediate","NotApplicable","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NEEDS.012","player.needs","Persistent","Partial","MSC.Needs.Runtime + MSC.Save.Integration","Project-owned P action drains urine progressively over 2.5–7.5 real seconds and adds dirtiness after minimum-threshold validation","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Project-owned P action drains urine progressively over 2.5–7.5 real seconds and adds dirtiness after minimum-threshold validation; prior save evidence: player.needs schema 3; transient action cancels safely on restore.","Immediate","NotApplicable","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NEEDS.013","player.needs","Persistent","Partial","MSC.Needs.Runtime + MSC.Save.Integration","Project-owned furniture targets advance shared time/weather/wetness/needs by a provisional eight hours and relieve fatigue/stress","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Project-owned furniture targets advance shared time/weather/wetness/needs by a provisional eight hours and relieve fatigue/stress; prior save evidence: core.time + player.needs schema 3.","Immediate","NotApplicable","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.NEEDS.014","player.needs","Persistent","Planned","MSC.Needs.Runtime + MSC.Save.Integration","08A HUD placeholder only; no production provider","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","Immediate","NotApplicable","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.HOME.001","home.state","Persistent","Partial","MSC.Home.Runtime + MSC.Save.Integration","Project-owned domestic runtime owns independent saved stove, television and electric-sauna switch state; a complete electrical/resource network is not implemented","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Project-owned domestic runtime owns independent saved stove, television and electric-sauna switch state; a complete electrical/resource network is not implemented; prior save evidence: home.state schema 1 + save document 6 migration.","DeferredByStableId","StableIdPreserved","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.HOME.002","home.state","Persistent","Partial","MSC.Home.Runtime + MSC.Save.Integration","Project-owned kitchen tap open/drink/close flow and independent shower switch/valve; water queues delayed thirst/urine effects and shower cleans only inside its local radius","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Project-owned kitchen tap open/drink/close flow and independent shower switch/valve; water queues delayed thirst/urine effects and shower cleans only inside its local radius; prior save evidence: home.state schema 1 + player.needs schema 3 + save document 6 migration.","DeferredByStableId","StableIdPreserved","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.HOME.003","home.state","Persistent","Partial","MSC.Home.Runtime + MSC.Save.Integration","Project-owned electric-sauna power, 30/60/90-minute timer, authoritative game-time heating/cooling, minimum-temperature steam gate and decaying steam state","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Project-owned electric-sauna power, 30/60/90-minute timer, authoritative game-time heating/cooling, minimum-temperature steam gate and decaying steam state; prior save evidence: home.state schema 1 + save document 6 migration.","DeferredByStableId","StableIdPreserved","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.HOME.004","home.state","Persistent","Partial","MSC.Home.Runtime + MSC.Save.Integration","Project-owned saved fireplace-lit foundation and explicit interaction action only; wood, ignition, fuel, heat and fire simulation remain absent","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Project-owned saved fireplace-lit foundation and explicit interaction action only; wood, ignition, fuel, heat and fire simulation remain absent; prior save evidence: home.state schema 1 + save document 6 migration.","DeferredByStableId","StableIdPreserved","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.HOME.005","home.state","Persistent","Partial","MSC.Home.Runtime + MSC.Save.Integration","Project-owned sleep surfaces exist on the player bed, parents' bed and living-room sofa; other donor-evidenced locations remain pending","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Project-owned sleep surfaces exist on the player bed, parents' bed and living-room sofa; other donor-evidenced locations remain pending; prior save evidence: core.time + player.needs schema 3.","DeferredByStableId","StableIdPreserved","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.HOME.006","home.state","Persistent","Partial","MSC.Home.Runtime + MSC.Save.Integration","A versioned saved fridge-power field exists as a compatibility foundation; no physical interaction target, storage inventory or spoilage modifier is implemented","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: A versioned saved fridge-power field exists as a compatibility foundation; no physical interaction target, storage inventory or spoilage modifier is implemented; prior save evidence: home.state schema 1 + save document 6 migration for the foundational flag.","DeferredByStableId","StableIdPreserved","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.HOME.007","home.state","Persistent","Partial","MSC.Home.Runtime + MSC.Save.Integration","Project-owned toilet target delegates to the existing timed urination authority; sink gives a bounded hygiene effect and active nearby shower cleans progressively","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Project-owned toilet target delegates to the existing timed urination authority; sink gives a bounded hygiene effect and active nearby shower cleans progressively; prior save evidence: home.state schema 1 + player.needs schema 3 + save document 6 migration.","DeferredByStableId","StableIdPreserved","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.HOME.008","home.state","Persistent","Partial","MSC.Home.Runtime + MSC.Save.Integration","Project-owned saved television-power toggle and explicit fixture interaction; radio/media playback and schedules are not implemented","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Project-owned saved television-power toggle and explicit fixture interaction; radio/media playback and schedules are not implemented; prior save evidence: home.state schema 1 + save document 6 migration.","DeferredByStableId","StableIdPreserved","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.HOME.009","home.state","Persistent","Planned","MSC.Home.Runtime + MSC.Save.Integration","World geometry only","Future Phase 1 domain is not implemented. Owning milestone must add stable identity, DTO, participant, migration note and round-trip coverage without fabricating state.","DeferredByStableId","StableIdPreserved","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.HOME.010","home.state","Persistent","Partial","MSC.Home.Runtime + MSC.Save.Integration","Door interaction prototype only; solid door blockers intentionally omitted","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Door interaction prototype only; solid door blockers intentionally omitted; prior save evidence: None.","DeferredByStableId","StableIdPreserved","09C","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.ITEM.001","items.instances","Persistent","Partial","MSC.Items.Runtime + MSC.Save.Integration","09B item tool identity/variants plus held-tool compatibility boundary; spanner sizes 8-17 are represented.","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: 09B item tool identity/variants plus held-tool compatibility boundary; spanner sizes 8-17 are represented.; prior save evidence: Partial: items.instances.native.v1 logical state + world.entities pose; row-specific round-trip/stream proof pending.","DeferredByStableId","StableIdPreserved","09B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.ITEM.002","items.instances","Persistent","Partial","MSC.Items.Runtime + MSC.Save.Integration","Car jack and floor jack have project-owned physical raise/lower behavior, saved lift height and four explicit Satsuma lift pads; floor jack has held-LMB ground drag and bounded nearby-vehicle collision bypass.","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Car jack and floor jack have project-owned physical raise/lower behavior, saved lift height and four explicit Satsuma lift pads; floor jack has held-LMB ground drag and bounded nearby-vehicle collision bypass.; prior save evidence: items.instances.native.v1 plus world.entities pose persist both jacks; native document v16 migration adds missing lift-height=0 only to legacy jack records.","DeferredByStableId","StableIdPreserved","09B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.ITEM.003","items.instances","Persistent","Partial","MSC.Items.Runtime + MSC.Save.Integration","09B project-owned item definition/instance runtime and items.instances save boundary; donor-specific category behavior remains incomplete.","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: 09B project-owned item definition/instance runtime and items.instances save boundary; donor-specific category behavior remains incomplete.; prior save evidence: Partial: items.instances.native.v1 logical state + world.entities pose; row-specific round-trip/stream proof pending.","DeferredByStableId","StableIdPreserved","09B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.ITEM.004","items.instances","Persistent","Partial","MSC.Items.Runtime + MSC.Save.Integration","09B liquid container authority is now connected to three 12A-S1 physical pump nozzles. Gasoline maps to liquid.gasoline and diesel to liquid.diesel; nozzle flow requires a carried nozzle plus an open compatible container.","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: 09B liquid container authority is now connected to three 12A-S1 physical pump nozzles. Gasoline maps to liquid.gasoline and diesel to liquid.diesel; nozzle flow requires a carried nozzle plus an open compatible container.; prior save evidence: items.instances.native.v1 persists cap and liquid state; services.state schema 1 persists accepted fuel debt.","DeferredByStableId","StableIdPreserved","12A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.ITEM.005","items.instances","Persistent","Partial","MSC.Items.Runtime + MSC.Save.Integration","09B project-owned item definition/instance runtime and items.instances save boundary; donor-specific category behavior remains incomplete.","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: 09B project-owned item definition/instance runtime and items.instances save boundary; donor-specific category behavior remains incomplete.; prior save evidence: Partial: items.instances.native.v1 logical state + world.entities pose; row-specific round-trip/stream proof pending.","DeferredByStableId","StableIdPreserved","09B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.ITEM.006","items.instances","Persistent","Partial","MSC.Items.Runtime + MSC.Save.Integration","Project-owned liquid source/receiver capabilities fill from physical kitchen-tap and shower stream volumes, transfer between containers, pour onto the electric-sauna receiver and spill into local puddle presentation. Container tilt continuously drains authoritative litres through the same typed spill path.","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Project-owned liquid source/receiver capabilities fill from physical kitchen-tap and shower stream volumes, transfer between containers, pour onto the electric-sauna receiver and spill into local puddle presentation. Container tilt continuously drains authoritative litres through the same typed spill path.; prior save evidence: items.instances.native.v1 persists liquid ID/amount; world.entities persists pose; row-specific streamed round-trip remains pending.","DeferredByStableId","StableIdPreserved","09B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.ITEM.007","items.instances","Persistent","Partial","MSC.Items.Runtime + MSC.Save.Integration","12A-S1 exposes all four audited pub beverage/cigarette choices. Item offers use ServiceItemHandoffBackend; vodka uses an idempotent effect handoff instead of the previous beer-only representative.","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: 12A-S1 exposes all four audited pub beverage/cigarette choices. Item offers use ServiceItemHandoffBackend; vodka uses an idempotent effect handoff instead of the previous beer-only representative.; prior save evidence: services.state schema 1 persists transactions/pending handoffs; physical spawned items use item/world save domains.","DeferredByStableId","StableIdPreserved","12A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.ITEM.008","items.instances","Persistent","Partial","MSC.Items.Runtime + MSC.Save.Integration","Outside-milestone fix adds data-driven whole consumption, game-time freshness, powered closed-fridge cooling and generic heat cooking while preserving ItemWorldRuntime authority. 12A-S1 paid pub meal choreography remains a separate pending flow.","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: Outside-milestone fix adds data-driven whole consumption, game-time freshness, powered closed-fridge cooling and generic heat cooking while preserving ItemWorldRuntime authority. 12A-S1 paid pub meal choreography remains a separate pending flow.; prior save evidence: Food freshness/timestamp/cooking/count and item/world pose use native item/world domains; paid handoff uses services.state; transient pub preparation progress remains unpersisted.","DeferredByStableId","StableIdPreserved","12A","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.ITEM.009","items.instances","Persistent","Partial","MSC.Items.Runtime + MSC.Save.Integration","09B project-owned item definition/instance runtime and items.instances save boundary; donor-specific category behavior remains incomplete.","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: 09B project-owned item definition/instance runtime and items.instances save boundary; donor-specific category behavior remains incomplete.; prior save evidence: Partial: items.instances.native.v1 logical state + world.entities pose; row-specific round-trip/stream proof pending.","DeferredByStableId","StableIdPreserved","09B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.ITEM.010","items.instances","Persistent","Partial","MSC.Items.Runtime + MSC.Save.Integration","09B project-owned item definition/instance runtime and items.instances save boundary; donor-specific category behavior remains incomplete.","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: 09B project-owned item definition/instance runtime and items.instances save boundary; donor-specific category behavior remains incomplete.; prior save evidence: Partial: items.instances.native.v1 logical state + world.entities pose; row-specific round-trip/stream proof pending.","DeferredByStableId","StableIdPreserved","09B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.ITEM.011","items.instances","Persistent","Partial","MSC.Items.Runtime + MSC.Save.Integration","09B project-owned item definition/instance runtime and items.instances save boundary; donor-specific category behavior remains incomplete.","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: 09B project-owned item definition/instance runtime and items.instances save boundary; donor-specific category behavior remains incomplete.; prior save evidence: Partial: items.instances.native.v1 logical state + world.entities pose; row-specific round-trip/stream proof pending.","DeferredByStableId","StableIdPreserved","09B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
"P1.ITEM.012","items.instances","Persistent","Partial","MSC.Items.Runtime + MSC.Save.Integration","09B project-owned item definition/instance runtime and items.instances save boundary; donor-specific category behavior remains incomplete.","A bounded implementation or DTO exists, but full Phase 1 state/restore coverage is incomplete: 09B project-owned item definition/instance runtime and items.instances save boundary; donor-specific category behavior remains incomplete.; prior save evidence: Partial: items.instances.native.v1 logical state + world.entities pose; row-specific round-trip/stream proof pending.","DeferredByStableId","StableIdPreserved","09B","Generated from authoritative parity row; later owner must update this row in the same commit as runtime implementation."
