"requirement_id","category","priority","status","fixture_id","name","covered_by_record_ids","next_capture","notes"
"P0-VEHICLE-FITTED-WHEEL","VehicleGeometryAssembly","P0","Partial","vehicle-body-wheel-geometry-v1","Fitted wheel/tire identity, radius and width","f7d49044cec918b66ac64e0099a7781f","VEHICLE_ASSEMBLY_CAPTURE.md","Named tire_stock mesh is a candidate, not proven installed state."
"P0-ENGINE-IDLE","PowertrainVehicleBehavior","P0","Missing","engine-idle-start-stall-v1","Engine idle RPM band and stability","","VEHICLE_BEHAVIOR_CAPTURE.md","Runtime capture required."
"P0-ENGINE-START","PowertrainVehicleBehavior","P0","Missing","engine-idle-start-stall-v1","Engine start prerequisites and timing","","VEHICLE_BEHAVIOR_CAPTURE.md","Runtime capture required."
"P0-ENGINE-STALL","PowertrainVehicleBehavior","P0","Missing","engine-idle-start-stall-v1","Engine stall conditions and RPM","","VEHICLE_BEHAVIOR_CAPTURE.md","Runtime capture required."
"P0-GEARBOX-RATIOS","PowertrainVehicleBehavior","P0","Missing","gearbox-final-drive-v1","Gear ratios and indexing","","VEHICLE_BEHAVIOR_CAPTURE.md","Managed member names are not values."
"P0-FINAL-DRIVE","PowertrainVehicleBehavior","P0","Missing","gearbox-final-drive-v1","Final-drive ratio","","VEHICLE_BEHAVIOR_CAPTURE.md","Static or behavioral measurement required."
"P0-STEERING-LOCK","PowertrainVehicleBehavior","P0","Missing","steering-suspension-v1","Steering lock and steering ratio","","VEHICLE_BEHAVIOR_CAPTURE.md","Runtime/transform capture required."
"P0-SUSPENSION-TRAVEL","PowertrainVehicleBehavior","P0","Missing","steering-suspension-v1","Suspension travel and response","","VEHICLE_BEHAVIOR_CAPTURE.md","Runtime capture required."
"P0-ACCELERATION-WINDOWS","PowertrainVehicleBehavior","P0","Missing","braking-acceleration-v1","Controlled acceleration windows","","VEHICLE_BEHAVIOR_CAPTURE.md","Runtime capture required."
"P0-BRAKING-DISTANCE","PowertrainVehicleBehavior","P0","Missing","braking-acceleration-v1","Controlled braking distances","","VEHICLE_BEHAVIOR_CAPTURE.md","Runtime capture required."
"P0-TIME-PROGRESSION","TimeWeatherEnvironment","P0","Missing","time-progression-v1","Game-time to real-time progression","","TIME_WEATHER_CAPTURE.md","Runtime capture required."
"P0-WEATHER-TRANSITION","TimeWeatherEnvironment","P0","Missing","weather-transition-v1","Clear/overcast/rain/fog transition timing","","TIME_WEATHER_CAPTURE.md","Natural runtime observation required."
"P1-WETNESS-DRYING","TimeWeatherEnvironment","P1","Missing","weather-transition-v1","Wetness onset and drying lag","","TIME_WEATHER_CAPTURE.md","Runtime observation required."
"P0-AUDIO-ENGINE-STATES","Audio","P0","Missing","audio-state-mapping-v1","Starter/idle/load/interior audio state map","","AUDIO_REFERENCE_CAPTURE.md","Recordings stay outside Git; no donor clip import."
"P1-AUDIO-ENVIRONMENT-STATES","Audio","P1","Missing","audio-state-mapping-v1","Surface, impact, rain and room state map","","AUDIO_REFERENCE_CAPTURE.md","Runtime capture required."
"P1-UI-NEEDS-STATE","UIState","P1","Missing","ui-state-capture-v1","Needs indicators, thresholds and game-state transitions","","UI_STATE_CAPTURE.md","UI/needs checklist exists; no values captured."
