"FeatureId","Domain","FeatureName","Required","DonorVersionEvidence","DonorSources","PlayerVisibleBehavior","Dependencies","CurrentImplementation","Status","LegacyPresentation","SaveCoverage","UITelemetry","AudioCoverage","TestCoverage","KnownDifferences","OwnerMilestone","HumanDecision","Notes"
"P1.PLAYER.004","Player","Второй / глубокий уровень приседа","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen GAME Crouch FSM chain Move down 1/Crouched 1/Move down 2/Crouched 2; crouch2 camera 0.3","Repeated Crouch input transitions level 1 to deep crouch and back to standing","Input System; Player motor; World collision; Interaction","Nothing; current motor has one crouch only","EvidenceCaptured","Current first-person camera only","None","None","None","No deep-crouch tests","Exact collider height, timing and water/seated/car/jump interruption require capture","09C","Pending","Low-clearance CrouchTrigger and AtticCrouchTrigger fixtures required"
"P1.PLAYER.005","Player","Наклон вперёд пешком","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen PLAYER Reach FSM/cInput action; user runtime clarification 2026-07-21; BetterMSC behavioral reference","Hold/release наклоняет взгляд вперёд и безопасно возвращает его; car/water/seated guards сохраняются","Input System; Player motor; Camera; World collision; Interaction","FirstPersonMotor implements a sphere-cast-limited 40 degree forward body/view arc through the project LeanPivot, entering at project-tuned 150 degrees/s and returning at 120 degrees/s with obstruction and reset handling","PartiallyImplemented","Camera/viewmodel-only lean; no physical full body","Non-persistent presentation/locomotion intent resets safely on session/input state changes","Bound input and interaction state exist; no donor UI is reused","Project-owned impact feedback is separate from lean authority","Focused Player/Interaction and locomotion regressions cover the implementation; active-world donor magnitude/feel and obstruction comparison remain pending","Technical donor action name ReachLeft is ambiguous; arc speeds are project tuning and the behavior uses BetterMSC evidence rather than a completed locked-donor capture","09C","User clarified forward on-foot lean 2026-07-21","Do not mark Verified until offset, collision/peek, guard and release behavior are executed against the locked donor"
"P1.PLAYER.006","Player","Поворот камеры и ограничения взгляда","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen PLAYER hierarchy/FSM metadata; CharacterMotor/FPSInput/Run/Crouch/Reach evidence; current Player runtime","Поворот камеры и ограничения взгляда","Input System; Player motor; World collision; Interaction","Working bounded M04 FirstPersonMotor","PartiallyImplemented","Current first-person camera/crossdot; no full body; viewmodel deferred per scope","None","None","None","None","Full donor parity not verified","09C","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.PLAYER.007","Player","Надёжное прохождение порогов и ступеней","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen CharacterController h0.5/r0.12/slope90/step0.4/skin0.03; CharacterMotor step logic; school/soccer/skijump stair fixtures","Player traverses donor-matched stairs/curbs/thresholds both directions without snag, hover or skip","Input System; Player motor; World collision; Interaction","Partial CharacterController traversal; pub passes and Teimo blocks","PartiallyImplemented","Current first-person camera; temporary world collision","None","None","Footsteps partial","Old pilot route only; no exact Teimo/pub or frozen stair suite","Audit malformed/overlapping collider before motor tuning or backend replacement","09C","Pending","Test 60 FPS and low FPS, cell reload, stance states and stable landmark anchors"
"P1.PLAYER.008","Player","Гравитация, slopes, grounding, jump и fall/land behavior","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen FPSInput Jump action; CharacterMotor acceleration/gravity/jump/slope/collision flags and fall/land transitions; user-requested 2026-09-03 feel correction","Stable grounding, slopes, jump, fall and landing matching donor tolerances","Input System; Player motor; World collision; Interaction","Project motor owns grounding, slopes, coyote jump, explicit 6.65 m/s force, crouch-to-standing jump commitment and structured landing impact; camera feedback uses impact plus bounded jump-force influence; five-point foot support sampling uses side-conflict rejection and 0.2 s confirmation; generated Satsuma routes Player-layer chassis contact through a kinematic collision proxy so CharacterController contact cannot reverse chassis momentum","ImplementedUnverified","Project-owned first-person camera with stronger bounded jump/landing response","Motor posture and vertical speed use existing player save DTO; jump-force tuning is immutable authoring state","Landing strength and support-load diagnostics available to tests; accepted 08A HUD unchanged","Footstep landing mapping absent","Full-project Unity 6000.3.11f1 focused locomotion PlayMode 23/23 passed; generated Satsuma collision contract EditMode 1/1 and instantiated proxy PlayMode 2/2 passed; coverage includes crouched compound-rocker rejection and direct oncoming-heavy-body reversal prevention","Donor serialized gravity 20/fall cap 20/base jump height 0.5 still require executed comparison; 6.65 m/s force and camera response are user-directed project tuning","09C","Pending","Representative donor slope-limit, fall/land, low-FPS and subjective camera comparison plus active Game View Satsuma contact acceptance still required"
"P1.PLAYER.009","Player","Project-owned locomotion state для audio/needs/UI/save","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen Running FSM proves movement-to-needs coupling; current audio/needs/save consumers inspected","One authoritative walk/run/crouch1/crouch2/airborne/lean output drives consumers","Input System; Player motor; Needs; Audio; Save","No unified locomotion state contract","EvidenceCaptured","Current first-person presentation only","None","None","Footstep presenter reads current controller state only","None","Audio/UI/save consumption is not donor-proven and must be project-owned","09C","Pending","No donor hierarchy lookup; pause/input reset and save round-trip required"
"P1.PLAYER.010","Player","Контекстное взаимодействие лучом","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen PLAYER hierarchy/FSM metadata; CharacterMotor/FPSInput/Run/Crouch/Reach evidence; current Player runtime","Контекстное взаимодействие лучом","Input System; Player motor; World collision; Interaction","Working bounded M04 Interaction prototype","PartiallyImplemented","Current first-person camera/crossdot; no full body; viewmodel deferred per scope","None","Crossdot and candidate debug foundation","None","M04 focused tests","Full donor parity not verified","09C","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.PLAYER.011","Player","Поднять, нести, вращать, поставить и бросить предмет","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen PLAYER hierarchy/FSM metadata; CharacterMotor/FPSInput/Run/Crouch/Reach evidence; current Player runtime","Поднять, нести, вращать, поставить и бросить предмет","Input System; Player motor; World collision; Interaction","Working bounded M04 Interaction prototype","PartiallyImplemented","Current first-person camera/crossdot; no full body; viewmodel deferred per scope","Carry snapshot DTO only","None","None","M04 focused tests","Full donor parity not verified","09C","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.PLAYER.012","Player","Использование инструментов и capability targets","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen PLAYER hierarchy/FSM metadata; CharacterMotor/FPSInput/Run/Crouch/Reach evidence; current Player runtime","Использование инструментов и capability targets","Input System; Player motor; World collision; Interaction","Working bounded M04 Interaction prototype","PartiallyImplemented","Current first-person camera/crossdot; no full body; viewmodel deferred per scope","None","None","None","None","Full donor parity not verified","09C","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.PLAYER.013","Player","Вход/выход и управление seated vehicle state","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen PLAYER hierarchy/FSM metadata; CharacterMotor/FPSInput/Run/Crouch/Reach evidence; current Player runtime","Вход/выход и управление seated vehicle state","Input System; Player motor; World collision; Interaction","Vehicle prototype input/session gates only","EvidenceCaptured","Current first-person camera/crossdot; no full body; viewmodel deferred per scope","None","None","None","None","Full donor parity not verified","11A","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.PLAYER.014","Player","Наклон влево/вправо в машине через открытое окно или дверь","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen vehicle camera Strafe FSM proves ReachLeft/ReachRight; user runtime clarification 2026-07-21","Seated view leans left/right only through an open window or door and resets safely","Input System; Vehicle camera; Seated state; Door/window openness","Nothing","Specified","Camera/viewmodel presentation only","Non-persistent seated locomotion/presentation intent; resets on input, seat or opening-state changes","None","None","None","Separate from forward on-foot lean; opening precondition is mandatory","11A","User clarified window/door-gated bilateral vehicle lean 2026-07-21","Capture offsets, per-side opening conditions, obstruction and release reset"
"P1.PLAYER.015","Player","Отдельный боковой наклон пешком","No","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","User runtime clarification 2026-07-21 resolves ambiguous cInput labels","Not applicable: пешком используется наклон вперёд","Input System; Player motor; Camera","Nothing","RejectedNotInLockedDonorVersion","Not applicable","Not applicable","None","None","User clarification","Ambiguous donor labels were not behavioral evidence","09C","Rejected by user clarification 2026-07-21","Keep ID as an audited rejected candidate; do not implement"
"P1.PLAYER.016","Player","Ручной мат, фак с голосом и event-driven ругань","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","GAME Setup &108669: Swear=N and Finger=M; SpeakDatabase Speech FSM &110839: Swear/SWEARING, RandomInt 0..16, MasterAudio Swearing, PlayerStress -0.5 and 1 s wait; PlayerFunctions FSM &111301: MIDDLEFINGER, RandomInt 0..11, MasterAudio Fuck, middlefinger animation and FINGER event; MasterAudio group &105622 has 16 Swearing variations; Fuck group &105307 and subtitle table &107451 have 11 separate variations/entries; insufficient-funds FSMs select Swearing","N plays one of 16 swear lines; M keeps the accepted middle-finger viewmodel and plays one of 11 dedicated middle-finger lines; insufficient funds reacts without changing needs; reaching stress 100 automatically swears; one-second speech lock suppresses spam","Input System; Needs; Economy; Audio backend; 08A Controls UI; Save","Project-owned PlayerVoiceReactionController and pure policy bind explicit input/needs/economy events to 16 swear plus 11 finger stable audio IDs; Controls route exposes baseline bindings and persisted rebinds","PartiallyImplemented","Hash-locked removable 27-clip TemporaryDirectImport Unity fallback split into independent Swearing/Fuck catalogs; accepted project-owned middle-finger viewmodel remains authoritative","Voice variant/one-second presentation lock intentionally non-persistent; authoritative stress uses player.needs schema 3 and economy rejection mutates no save state","Scrollable accepted Controls shell exposes N/M and the active player/vehicle bindings; exact donor English Finger subtitles and project Russian fallback use the existing status surface","27 Unity fallback dialogue events across player.swear.01..16 and player.finger.01..11; preferred Wwise event mappings/bank media pending","Previous player voice baseline passed policy EditMode 4/4, economy/input EditMode 6/6, controller PlayMode 2/2, Controls UI PlayMode 5/5 and production Bootstrap 1/1; dedicated 11-line Finger correction revalidation pending","Project stress is clamped to 100 while donor Simulation also contains a later 200 comparison; automatic trigger is therefore the evidenced 100 crossing. Exact donor English Finger subtitles are locked; project Russian localization, Wwise authoring and manual in-game audio/gesture acceptance remain pending","09C","User requested bounded out-of-sequence implementation 2026-08-13 and corrected the middle-finger phrases the same day","No donor FSM/controller/runtime assembly enters the project; generated clips remain ignored and replaceable by presentation.audio.player-voice.phase2"
"P1.NEEDS.001","Needs","Жажда","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen PLAYER/Systems FSM metadata; UI captures; supporting item evidence","Жажда","GameTime; Player; Items; Save","08A HUD placeholder only; no production provider","EvidenceCaptured","08A HUD category exists where applicable; item animations missing","None","HUD shows unavailable state; no hidden exact percentages","None","None","Rates, thresholds and modifiers require frozen-version capture","09C","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.NEEDS.002","Needs","Голод","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen PLAYER/Systems FSM metadata; UI captures; supporting item evidence","Голод","GameTime; Player; Items; Save","08A HUD placeholder only; no production provider","EvidenceCaptured","08A HUD category exists where applicable; item animations missing","None","HUD shows unavailable state; no hidden exact percentages","None","None","Rates, thresholds and modifiers require frozen-version capture","09C","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.NEEDS.003","Needs","Стресс","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen PLAYER/Systems FSM metadata; SpeakDatabase Speech FSM &110839 applies -0.5 PlayerStress per manual/automatic SWEARING; Simulation FSM &112251 emits SWEARING at PlayerStress 100; UI captures; supporting item evidence","Authoritative stress progresses and persists; manual or automatic swear relieves 0.5; reaching 100 emits a bounded automatic voice reaction","GameTime; Player; Items; Save; Audio","PlayerNeedsRuntime/provider/save/HUD exist; PlayerVoiceReactionController applies the evidenced -0.5 only through IPlayerNeedsEffectSink and observes the 100 threshold","PartiallyImplemented","08A HUD plus removable player-voice TemporaryDirectImport; item animations still incomplete","player.needs schema 3; transient voice selection and cooldown intentionally not persisted","Live authoritative HUD value and localized reaction subtitle","16 stable swear events through removable Unity fallback; Wwise mapping pending","Reaction policy EditMode 4/4; controller PlayMode 2/2; existing needs/save coverage","General stress rates and every donor modifier still require frozen-version capture; project range clamps at 100, so the donor's later 200 comparison is unreachable by design","09C","Pending","Reaction boundary is implemented without promoting full stress parity to Verified"
"P1.NEEDS.004","Needs","Усталость","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen PLAYER/Systems FSM metadata; GAME FatigueEyes sleep_on/sleep_off_fast curve and 20-60 second cadence; BetterMSC blur concept inspected read-only","Усталость","GameTime; Player; Items; Save","Project-owned fatigue progression, save state, HUD telemetry and HDRP low-cost blur/vignette presentation","PartiallyImplemented","Progressive HDRP depth blur plus deterministic soft blink vignette; no donor texture, animation or runtime dependency","player.needs schema 3 + save document 5 migration","HUD and development console expose authoritative fatigue","None","FatigueBlinkResponse EditMode curve/cadence coverage; full Items+Needs focused run 29/29","Rates, thresholds and final perceptual strength still require manual donor calibration; radial softening intentionally replaces visibly rectangular temporary eyelids","09C","Pending","Project-owned ID and presenter; donor/BetterMSC are behavioral references only"
"P1.NEEDS.005","Needs","Нужда в мочеиспускании","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen PLAYER/Systems FSM metadata; UI captures; supporting item evidence","Нужда в мочеиспускании","GameTime; Player; Items; Save","08A HUD placeholder only; no production provider","EvidenceCaptured","08A HUD category exists where applicable; item animations missing","None","HUD shows unavailable state; no hidden exact percentages","None","None","Rates, thresholds and modifiers require frozen-version capture","09C","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.NEEDS.006","Needs","Нечистоплотность","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen PLAYER/Systems FSM metadata; UI captures; supporting item evidence","Нечистоплотность","GameTime; Player; Items; Save","08A HUD placeholder only; no production provider","EvidenceCaptured","08A HUD category exists where applicable; item animations missing","None","HUD shows unavailable state; no hidden exact percentages","None","None","Rates, thresholds and modifiers require frozen-version capture","09C","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.NEEDS.007","Needs","Алкогольное опьянение и похмелье","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen PLAYER/Systems FSM metadata; UI captures; supporting item evidence","Алкогольное опьянение и похмелье","GameTime; Player; Items; Save","Project-owned delayed beer absorption, alcohol clearance and persistent provisional hangover; held beer now contributes effects continuously in proportion to consumed liquid","PartiallyImplemented","Real carried bottle moves into a temporary interruptible drink pose; lightweight camera/vignette perception remains pending final authored presentation/audio","player.needs schema 3 + save document 5 migration; partial bottle content persists through item state","HUD/needs state; developer console can set intoxication and hangover without becoming save authority","No routed drink/alcohol audio comparison yet","Continuous beer amount/effect/retained-empty-bottle EditMode coverage; full Items+Needs focused run 29/29","Rates, thresholds, perceptual strength and modifiers require frozen-version capture","09C","Pending","Project-owned ID; drinking never depends on an animation frame or donor runtime"
"P1.NEEDS.008","Needs","Еда и насыщение","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen PLAYER/Systems FSM metadata; UI captures; supporting item evidence","Еда и насыщение","GameTime; Player; Items; Save","08A HUD placeholder only; no production provider","EvidenceCaptured","08A HUD category exists where applicable; item animations missing","None","HUD shows unavailable state; no hidden exact percentages","None","None","Rates, thresholds and modifiers require frozen-version capture","09C","Pending","Project-owned ID; runtime must not depend on donor names or hierarchy"
"P1.NEEDS.009","Needs","Питьё и hydration","Yes","Frozen04A1 revision msc-world-baseline-04a1.1-c3f2f337; GAME SHA-256 c3f2f3373ccad4fcbe104840fcb83e364f55438070e808d11ebe4996bc0476c4","Frozen PLAYER/Systems FSM metadata; UI captures; supporting item evidence; user-approved two-stage input contract 2026-07-28","Питьё и hydration","GameTime; Player; Items; Save; Interaction carry","First F on a usable world bottle picks up the real item into a transient use-ready hand pose without consuming it; the next held F drinks continuously, release pauses drinking while retaining the bottle","PartiallyImplemented","The real physical bottle follows the reviewed donor Hand/BeerBottle grip anchor in an interruptible temporary Phase 1 hand viewmodel; no duplicate donor bottle geometry","Partial liquid content and pending needs effects persist in existing item/player.needs schemas; transient use-ready presentation is intentionally not saved","Item status and needs HUD remain authoritative","No routed drinking audio comparison yet","Two-stage ready/drink lifecycle, partial effects, release stop, depletion and retained empty bottle covered; focused viewmodel, interaction and item runs PASS 36/36","Final visual grip, transition and audio require manual donor comparison","09C","Pending","First F is a special use pickup, second held F drinks; LMB releases, RMB throws; wheel rotation is blocked while drink-ready/drinking"
