"RosterId","FeatureId","DisplayRole","Group","Required","DonorEvidence","BehaviorSummary","Classification","CurrentImplementation","Status","LegacyPresentation","SaveCoverage","OwnerMilestone","AcceptanceEvidence","Notes"
"NPC-011","P1.NPC.011","Sewage customer 3","JobClient","Yes","Frozen04A1 GAME.unity locked hash; ShitMan3 actor/body/materials and exact transform inspected read-only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","Distinct stable customer at exact converted home anchor with review availability baseline","PartiallyImplemented","Hash-locked body/clothing/face and compatible upper-body clip in replaceable wrapper","npc.state schema 2 in save document v12 covers streamed state and job flags","10B","NPC EditMode 16/16 + save migration 3/3; manual location/presentation comparison pending","Septic-call/full-tank job gate, payment and voice belong to later job integration"
"NPC-012","P1.NPC.012","Sewage customer 4","JobClient","Yes","Frozen04A1 GAME.unity locked hash; ShitMan4 actor/body/materials and exact transform inspected read-only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","Distinct stable customer at exact converted home anchor with review availability baseline","PartiallyImplemented","Hash-locked body/clothing/face and compatible upper-body clip in replaceable wrapper","npc.state schema 2 in save document v12 covers streamed state and job flags","10B","NPC EditMode 16/16 + save migration 3/3; manual location/presentation comparison pending","Septic-call/full-tank job gate, payment and voice belong to later job integration"
"NPC-013","P1.NPC.013","Sewage customer 5","JobClient","Yes","Frozen04A1 GAME.unity locked hash; ShitMan5 actor/body/materials and exact transform inspected read-only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","Distinct stable customer at exact converted home anchor with review availability baseline","PartiallyImplemented","Hash-locked body/clothing/face and compatible upper-body clip in replaceable wrapper","npc.state schema 2 in save document v12 covers streamed state and job flags","10B","NPC EditMode 16/16 + save migration 3/3; manual location/presentation comparison pending","Septic-call/full-tank job gate, payment and voice belong to later job integration"
"NPC-014","P1.NPC.014","Firewood customer","JobClient","Yes","Frozen04A1 GAME.unity locked hash; WoodsMan actor/body/materials and exact transform inspected read-only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","Stable customer at exact converted home anchor with review availability baseline","PartiallyImplemented","Hash-locked body/clothing/face and compatible standing clip in replaceable wrapper","npc.state schema 2 in save document v12 covers streamed state and future job flags","10B","NPC EditMode 16/16 + save migration 3/3; manual location/presentation comparison pending","Phone call, delivery/payment gate and voice belong to later job integration"
"NPC-015","P1.NPC.015","Inspection officer","AuthorityService","Yes","Frozen04A1 GAME.unity locked hash; InspectionMan actor/body/materials and exact transform inspected read-only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","Stable officer at exact converted inspection-station anchor with review availability baseline","PartiallyImplemented","Hash-locked body/clothing/face and compatible standing clip in replaceable wrapper","npc.state schema 2 in save document v12 covers streamed service state","10B","NPC EditMode 16/16 + save migration 3/3; manual station placement/presentation comparison pending","Exact opening hours, inspection authority, paperwork/payment and voice remain dependencies"
"NPC-016","P1.NPC.016","Wastewater-facility attendant","Service","Yes","Frozen04A1 GAME.unity locked hash; WaterFacilityMan actor/body/accessories and exact transform inspected read-only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","Stable attendant at exact converted facility anchor with review availability baseline","PartiallyImplemented","Hash-locked body/clothing/face, clear glasses and compatible upper-body clip in replaceable wrapper","npc.state schema 2 in save document v12 covers streamed service state","10B","NPC EditMode 16/16 + save migration 3/3; manual facility placement/presentation comparison pending","Exact opening/service transaction and voice remain dependencies"
"NPC-017","P1.NPC.017","Ventti opponent/Pigman","Minigame","Yes","Frozen04A1 GAME.unity locked hash; VenttiPig actor/body/hat/glasses and exact transform inspected read-only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","One stable Ventti/Pigman identity at exact converted cabin anchor with review availability baseline","PartiallyImplemented","Hash-locked body/clothing/face, latsa, dark glasses and compatible upper-body clip in replaceable wrapper","npc.state schema 2 in save document v12 covers streamed state and future minigame flags","10B","NPC EditMode 16/16 + save migration 3/3; manual cabin pose/placement comparison pending","Ventti rules/stakes, exact availability, house ownership transition and voice remain dependencies"
"NPC-018","P1.NPC.018","Bus driver Latanen","Transport","Yes","Frozen WOP BUS DriverLatanen","Driver identity, bus route/schedule, interruption and state","BehavioralReference","User-accepted 10A vehicle-linked framework fixture; bus route and behavior remain 10B","EvidenceCaptured","One manifest-locked TemporaryDirectImport wrapper with project vehicle-binding anchor","npc.state schema 1 covers only the 10A fixture instance","10B","Spawn + full route/schedule + bus binding + streaming/save + audio comparison","10A receipt/register presentation and vehicle-linked boundary accepted 2026-08-01; do not claim donor bus parity"
"NPC-019","P1.NPC.019","Bus passenger Markku","Transport","Yes","Frozen04A1 HUMANS/NPC_CARS/service/event hierarchy; exact object names are evidence only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","Multiplicity/variants must be confirmed before Verified"
"NPC-020","P1.NPC.020","Bus passenger Signe","Transport","Yes","Frozen04A1 HUMANS/NPC_CARS/service/event hierarchy; exact object names are evidence only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","Multiplicity/variants must be confirmed before Verified"
"NPC-021","P1.NPC.021","Unresolved third bus passenger candidate","Transport","No","Only Markku and Signe proven; Latanen is driver","No implementation until identity evidence","BehavioralReference","Nothing","Unknown","None","None","10B","Identity/reachability evidence","Audit trace only"
"NPC-022","P1.NPC.022","Ambient walker Alpo","Ambient","Yes","Frozen04A1 HUMANS/NPC_CARS/service/event hierarchy; exact object names are evidence only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference","User-accepted 10A scheduled-roaming framework fixture; full walker behavior remains 10B","EvidenceCaptured","One manifest-locked TemporaryDirectImport wrapper with project route/schedule binding","npc.state schema 1 covers only the 10A fixture instance","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","10A gait, ping-pong route and streaming accepted 2026-08-01; donor-calibrated multiplicity and behavior remain unverified"
"NPC-023","P1.NPC.023","Ambient walker Julli","Ambient","Yes","Frozen04A1 HUMANS/NPC_CARS/service/event hierarchy; exact object names are evidence only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","Multiplicity/variants must be confirmed before Verified"
"NPC-024","P1.NPC.024","Ambient walker Kale","Ambient","Yes","Frozen04A1 HUMANS/NPC_CARS/service/event hierarchy; exact object names are evidence only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","Multiplicity/variants must be confirmed before Verified"
"NPC-025","P1.NPC.025","Ambient walker Kristian","Ambient","Yes","Frozen04A1 HUMANS/NPC_CARS/service/event hierarchy; exact object names are evidence only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","Multiplicity/variants must be confirmed before Verified"
"NPC-026","P1.NPC.026","Ambient walker Rauno","Ambient","Yes","Frozen04A1 HUMANS/NPC_CARS/service/event hierarchy; exact object names are evidence only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","Multiplicity/variants must be confirmed before Verified"
"NPC-027","P1.NPC.027","Ambient walker Unto","Ambient","Yes","Frozen04A1 HUMANS/NPC_CARS/service/event hierarchy; exact object names are evidence only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","Multiplicity/variants must be confirmed before Verified"
"NPC-028","P1.NPC.028","Pub fighter role","Event","Yes","Frozen04A1 HUMANS/NPC_CARS/service/event hierarchy; exact object names are evidence only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","Multiplicity/variants must be confirmed before Verified"
"NPC-029","P1.NPC.029","Dance-hall fighter role","Event","Yes","Frozen04A1 HUMANS/NPC_CARS/service/event hierarchy; exact object names are evidence only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","Multiplicity/variants must be confirmed before Verified"
"NPC-030","P1.NPC.030","Dance-hall guard","Event","Yes","Frozen04A1 HUMANS/NPC_CARS/service/event hierarchy; exact object names are evidence only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","Multiplicity/variants must be confirmed before Verified"
"NPC-031","P1.NPC.031","Band singer","Event","Yes","Frozen04A1 HUMANS/NPC_CARS/service/event hierarchy; exact object names are evidence only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","Multiplicity/variants must be confirmed before Verified"
"NPC-032","P1.NPC.032","Band synthist","Event","Yes","Frozen WOP Synthist role","Event schedule and performance state","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","Spawn/schedule/performance/audio/save comparison","No guitarist role claimed"
"NPC-033","P1.NPC.033","Band bassist","Event","Yes","Frozen04A1 HUMANS/NPC_CARS/service/event hierarchy; exact object names are evidence only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","Multiplicity/variants must be confirmed before Verified"
"NPC-034","P1.NPC.034","Band drummer","Event","Yes","Frozen04A1 HUMANS/NPC_CARS/service/event hierarchy; exact object names are evidence only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","Multiplicity/variants must be confirmed before Verified"
"NPC-035","P1.NPC.035","Theatre actors","CrowdGroup","Yes","Frozen04A1 HUMANS/NPC_CARS/service/event hierarchy; exact object names are evidence only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","Multiplicity/variants must be confirmed before Verified"
"NPC-036","P1.NPC.036","Theatre patrons","CrowdGroup","Yes","Frozen04A1 HUMANS/NPC_CARS/service/event hierarchy; exact object names are evidence only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","Multiplicity/variants must be confirmed before Verified"
"NPC-037","P1.NPC.037","Janitor Reijo","Ambient","Yes","Frozen04A1 HUMANS/NPC_CARS/service/event hierarchy; exact object names are evidence only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","Multiplicity/variants must be confirmed before Verified"
"NPC-038","P1.NPC.038","Football children","CrowdGroup","Yes","Frozen04A1 HUMANS/NPC_CARS/service/event hierarchy; exact object names are evidence only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","Multiplicity/variants must be confirmed before Verified"
"NPC-039","P1.NPC.039","Rally parts salesman","EventService","Yes","Frozen04A1 HUMANS/NPC_CARS/service/event hierarchy; exact object names are evidence only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","Multiplicity/variants must be confirmed before Verified"
"NPC-040","P1.NPC.040","Rally officials","AuthorityGroup","Yes","Frozen04A1 HUMANS/NPC_CARS/service/event hierarchy; exact object names are evidence only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","Multiplicity/variants must be confirmed before Verified"
"NPC-041","P1.NPC.041","Rally drivers","EventGroup","Yes","Frozen04A1 HUMANS/NPC_CARS/service/event hierarchy; exact object names are evidence only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","Multiplicity/variants must be confirmed before Verified"
"NPC-042","P1.NPC.042","Rally spectators/helpers","CrowdGroup","Yes","Frozen04A1 HUMANS/NPC_CARS/service/event hierarchy; exact object names are evidence only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","Multiplicity/variants must be confirmed before Verified"
"NPC-043","P1.NPC.043","Police/checkpoint officers","AuthorityGroup","Yes","Frozen04A1 HUMANS/NPC_CARS/service/event hierarchy; exact object names are evidence only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","Multiplicity/variants must be confirmed before Verified"
"NPC-044","P1.NPC.044","Traffic drivers","TransportGroup","Yes","Frozen04A1 HUMANS/NPC_CARS/service/event hierarchy; exact object names are evidence only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","Multiplicity/variants must be confirmed before Verified"
"NPC-045","P1.NPC.045","Traffic passengers","TransportGroup","Yes","Frozen04A1 HUMANS/NPC_CARS/service/event hierarchy; exact object names are evidence only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","Multiplicity/variants must be confirmed before Verified"
"NPC-046","P1.NPC.046","Duplicate suicidal-hiker identity candidate","Story","No","Frozen links to Jokke P1.NPC.005 states","Not a separate persistent NPC","BehavioralReference","Nothing","RejectedNotInLockedDonorVersion","Reuse Jokke presenter states","Covered by P1.NPC.005","10B","Identity audit","Merged into Jokke; avoid duplicate"
"NPC-047","P1.NPC.047","Murderer/hitchhiker role","Story","Yes","Frozen04A1 HUMANS/NPC_CARS/service/event hierarchy; exact object names are evidence only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","Multiplicity/variants must be confirmed before Verified"
"NPC-048","P1.NPC.048","Crazy old-man watcher","Ambient","Yes","Frozen04A1 HUMANS/NPC_CARS/service/event hierarchy; exact object names are evidence only","Presence, schedule, dialogue/relationship and conditional role matching locked donor","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","Roster count + spawn/schedule/dialogue comparison + streaming/save round-trip","Multiplicity/variants must be confirmed before Verified"
"NPC-049","P1.NPC.049","Jani / KYLAJANI driver","StoryTraffic","Yes","Frozen04A1 KYLAJANI root, KYLAJANI_DRIVER renderer, wheels and passenger anchor; Jani name user-confirmed","Identity, route/schedule and story state","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","Stable Jani instance runs a project-owned smooth looping review route with Suski passenger state","PartiallyImplemented","Hash-locked donor car/driver meshes, textures and four rotating wheels in a replaceable wrapper; BetterMSC Suski passenger attached to audited anchor","npc.state schema 2 in save document v13; v12->v13 migration adds Jani without resetting accepted rows","10B","NPC EditMode 16/16 + save migration 4/4; streaming/passenger state automated; manual route and appearance comparison pending","Review loop is not claimed donor-exact; crash, damage, audio and event-owned route gates remain pending"
"NPC-050","P1.NPC.050","Petteri / AMIS2 driver","StoryTraffic","Yes","Frozen04A1 AMIS2 root, AMIS2_DRIVER renderer and wheel hierarchy; Petteri name user-confirmed","Identity, route/schedule and story state","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","Stable Petteri instance runs a separate project-owned smooth looping review route","PartiallyImplemented","Hash-locked donor car/driver meshes, textures and four rotating wheels in a replaceable wrapper","npc.state schema 2 in save document v13; v12->v13 migration adds Petteri without resetting accepted rows","10B","NPC EditMode 16/16 + save migration 4/4; streaming state automated; manual route and appearance comparison pending","Review loop is not claimed donor-exact; crash rivalry, damage, audio and exact event gates remain pending"
"NPC-101","P1.NPC.101","Jokke wife","RelationshipState","Yes","Frozen04A1 HouseDrunk/LOD/Wife/Point, Lamore and wife1..6 audio evidence; no physical body found in locked scene","Identity, schedule, dialogue/event triggers, streaming and persistent state","BehavioralReference;ConfigurationTransferred;Reimplemented","Explicit StateOnly character with stable ID and exact converted state anchor; physical scheduling/materialization is rejected","PartiallyImplemented","No wrapper by donor evidence; runtime and validation explicitly permit only state-only non-materialized identity","npc.state schema 2 in save document v12 persists the relationship-state identity","10B","NPC EditMode 16/16 + save migration 3/3; relationship event/audio comparison pending","Do not fabricate a mannequin; wife1..6 event mapping and story transition remain dependencies"
"NPC-102","P1.NPC.102","Cousin/KUSKI driver","StoryTraffic","Yes","Frozen04A1 WOP individual role/instance evidence","Identity, schedule, dialogue/event triggers, streaming and persistent state","BehavioralReference","Nothing; no NPC runtime module","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","One identity across context bodies + spawn/schedule/dialogue + streaming/save + presenter/audio comparison","Do not promote names beyond evidence"
