"RosterId","FeatureId","EventChain","Category","Required","DonorEvidence","BehaviorSummary","Classification","CurrentImplementation","Status","SaveCoverage","OwnerMilestone","AcceptanceEvidence","Notes"
"EVT-011","P1.EVENT.011","Fleetari vandalism request and consequence","ServiceStory","Yes","Frozen04A1 HUMANS/JOBS/Systems/NPC_CARS FSM metadata","Project-owned conditional graph, all outcomes, idempotency and persistence","BehavioralReference","Nothing","EvidenceCaptured","None","13A","Branch fixture + donor comparison + save/load at every graph node","Exact conditions/outcomes remain capture-gated"
"EVT-012","P1.EVENT.012","Grandmother visit/food dialogue progression","FamilyRelationship","Yes","Frozen04A1 HUMANS/JOBS/Systems/NPC_CARS FSM metadata","Project-owned conditional graph, all outcomes, idempotency and persistence","BehavioralReference","Nothing","EvidenceCaptured","None","13A","Branch fixture + donor comparison + save/load at every graph node","Exact conditions/outcomes remain capture-gated"
"EVT-013","P1.EVENT.013","Vehicle readiness and inspection progression","VehicleProgression","Yes","Frozen04A1 HUMANS/JOBS/Systems/NPC_CARS FSM metadata","Project-owned conditional graph, all outcomes, idempotency and persistence","BehavioralReference","Nothing","EvidenceCaptured","None","13A","Branch fixture + donor comparison + save/load at every graph node","Exact conditions/outcomes remain capture-gated"
"EVT-014","P1.EVENT.014","Police warrant/arrest escalation","AuthorityProgression","Yes","Frozen04A1 HUMANS/JOBS/Systems/NPC_CARS FSM metadata","Project-owned conditional graph, all outcomes, idempotency and persistence","BehavioralReference","Nothing","EvidenceCaptured","None","13A","Branch fixture + donor comparison + save/load at every graph node","Exact conditions/outcomes remain capture-gated"
"EVT-015","P1.EVENT.015","Rally eligibility/result progression","CompetitionProgression","Yes","Frozen04A1 HUMANS/JOBS/Systems/NPC_CARS FSM metadata","Project-owned conditional graph, all outcomes, idempotency and persistence","BehavioralReference","Nothing","EvidenceCaptured","None","13A","Branch fixture + donor comparison + save/load at every graph node","Exact conditions/outcomes remain capture-gated"
"EVT-016","P1.EVENT.016","House/drunk moving event chain","JobStory","Yes","Frozen04A1 HUMANS/JOBS/Systems/NPC_CARS FSM metadata","Project-owned conditional graph, all outcomes, idempotency and persistence","BehavioralReference","Nothing","EvidenceCaptured","None","13A","Branch fixture + donor comparison + save/load at every graph node","Exact conditions/outcomes remain capture-gated"
"EVT-017","P1.EVENT.017","Suicidal hiker encounter","ConditionalEncounter","Yes","Frozen04A1 HUMANS/JOBS/Systems/NPC_CARS FSM metadata","Project-owned conditional graph, all outcomes, idempotency and persistence","BehavioralReference","Nothing","EvidenceCaptured","None","13A","Branch fixture + donor comparison + save/load at every graph node","Exact conditions/outcomes remain capture-gated"
"EVT-018","P1.EVENT.018","Murderer/hitchhiker encounter","ConditionalEncounter","Yes","Frozen04A1 HUMANS/JOBS/Systems/NPC_CARS FSM metadata","Project-owned conditional graph, all outcomes, idempotency and persistence","BehavioralReference","Nothing","EvidenceCaptured","None","13A","Branch fixture + donor comparison + save/load at every graph node","Exact conditions/outcomes remain capture-gated"
"EVT-019","P1.EVENT.019","Open-world calendar/weekday conditional events","CalendarEvents","Yes","Frozen04A1 HUMANS/JOBS/Systems/NPC_CARS FSM metadata","Project-owned conditional graph, all outcomes, idempotency and persistence","BehavioralReference","Nothing","EvidenceCaptured","None","13A","Branch fixture + donor comparison + save/load at every graph node","Exact conditions/outcomes remain capture-gated"
"EVT-020","P1.EVENT.020","Late-game continuation after story outcomes","OpenLoop","Yes","Frozen04A1 HUMANS/JOBS/Systems/NPC_CARS FSM metadata","Project-owned conditional graph, all outcomes, idempotency and persistence","BehavioralReference","Nothing","EvidenceCaptured","None","13A","Branch fixture + donor comparison + save/load at every graph node","Exact conditions/outcomes remain capture-gated"
"EVT-101","P1.EVENT.101","Prologue/intro sequence","StorySequence","Yes","Frozen INTRO scene nodes","Prerequisites/order/branches/outcomes/reload and continuation","BehavioralReference","Nothing","EvidenceCaptured","None","13A","Branch reachability + one-shot guards + all outcomes + save before/after + donor comparison","Exact ordering pending"
"EVT-102","P1.EVENT.102","Suski ending sequence","StorySequence","Yes","Frozen ENDING nodes","Prerequisites/order/branches/outcomes/reload and continuation","BehavioralReference","Nothing","EvidenceCaptured","None","13A","Branch reachability + one-shot guards + all outcomes + save before/after + donor comparison","Exact ordering pending"
"EVT-103","P1.EVENT.103","Jokke memorial grave state","DormantCandidate","No","Frozen conditional/dormant memorial state","Prerequisites/order/branches/outcomes/reload and continuation","BehavioralReference","Nothing","Unknown","None","13A","Branch reachability + one-shot guards + all outcomes + save before/after + donor comparison","Dormant state; user decision pending"
"EVT-104","P1.EVENT.104","Sirkka memorial grave state","DormantCandidate","No","Frozen conditional/dormant memorial state","Prerequisites/order/branches/outcomes/reload and continuation","BehavioralReference","Nothing","Unknown","None","13A","Branch reachability + one-shot guards + all outcomes + save before/after + donor comparison","Dormant state; user decision pending"
"EVT-105","P1.EVENT.105","Suski memorial grave state","DormantCandidate","No","Frozen conditional/dormant memorial state","Prerequisites/order/branches/outcomes/reload and continuation","BehavioralReference","Nothing","Unknown","None","13A","Branch reachability + one-shot guards + all outcomes + save before/after + donor comparison","Dormant state; user decision pending"
