"RosterId","FeatureId","ServiceOrLocation","Category","Required","DonorEvidence","BehaviorSummary","Classification","CurrentImplementation","Status","SaveCoverage","OwnerMilestone","AcceptanceEvidence","Notes"
"LOC-012","P1.SERVICE.012","Strawberry field","JobLocation","Yes","Frozen04A1 landmark/world/FSM evidence","Accessible location plus every donor-evidenced transaction, schedule or trigger","BehavioralReference","World baseline only; gameplay service absent","EvidenceCaptured","None","12A","Location access + complete service flow + UI/audio + save round-trip","Geometry presence is not implementation evidence"
"LOC-013","P1.SERVICE.013","Farm and hay fields","JobLocation","Yes","Frozen04A1 landmark/world/FSM evidence","Accessible location plus every donor-evidenced transaction, schedule or trigger","BehavioralReference","World baseline only; gameplay service absent","EvidenceCaptured","None","12A","Location access + complete service flow + UI/audio + save round-trip","Geometry presence is not implementation evidence"
"LOC-014","P1.SERVICE.014","Firewood delivery house","JobLocation","Yes","Frozen04A1 landmark/world/FSM evidence","Accessible location plus every donor-evidenced transaction, schedule or trigger","BehavioralReference","World baseline only; gameplay service absent","EvidenceCaptured","None","12A","Location access + complete service flow + UI/audio + save round-trip","Geometry presence is not implementation evidence"
"LOC-015","P1.SERVICE.015","Five sewage customer houses","JobLocationGroup","Yes","Frozen04A1 landmark/world/FSM evidence","Accessible location plus every donor-evidenced transaction, schedule or trigger","BehavioralReference","World baseline only; gameplay service absent","EvidenceCaptured","None","12A","Location access + complete service flow + UI/audio + save round-trip","Geometry presence is not implementation evidence"
"LOC-016","P1.SERVICE.016","Jokke house and moving destination","StoryJobLocation","Yes","Frozen04A1 landmark/world/FSM evidence","Accessible location plus every donor-evidenced transaction, schedule or trigger","BehavioralReference","World baseline only; gameplay service absent","EvidenceCaptured","None","12A","Location access + complete service flow + UI/audio + save round-trip","Geometry presence is not implementation evidence"
"LOC-017","P1.SERVICE.017","Cottage/island","DomesticLocation","Yes","Frozen04A1 landmark/world/FSM evidence","Accessible location plus every donor-evidenced transaction, schedule or trigger","BehavioralReference","World baseline only; gameplay service absent","EvidenceCaptured","None","12A","Location access + complete service flow + UI/audio + save round-trip","Geometry presence is not implementation evidence"
"LOC-018","P1.SERVICE.018","Landfill/dump","UtilityLocation","Yes","Frozen04A1 landmark/world/FSM evidence","Accessible location plus every donor-evidenced transaction, schedule or trigger","BehavioralReference","World baseline only; gameplay service absent","EvidenceCaptured","None","12A","Location access + complete service flow + UI/audio + save round-trip","Geometry presence is not implementation evidence"
"LOC-019","P1.SERVICE.019","Rally registration/service points","EventService","Yes","Frozen04A1 landmark/world/FSM evidence","Accessible location plus every donor-evidenced transaction, schedule or trigger","BehavioralReference","World baseline only; gameplay service absent","EvidenceCaptured","None","12A","Location access + complete service flow + UI/audio + save round-trip","Geometry presence is not implementation evidence"
"LOC-020","P1.SERVICE.020","Drag strip","EventLocation","Yes","Frozen04A1 landmark/world/FSM evidence","Accessible location plus every donor-evidenced transaction, schedule or trigger","BehavioralReference","World baseline only; gameplay service absent","EvidenceCaptured","None","12A","Location access + complete service flow + UI/audio + save round-trip","Geometry presence is not implementation evidence"
"LOC-021","P1.SERVICE.021","Police checkpoints","AuthorityLocation","Yes","Frozen04A1 landmark/world/FSM evidence","Accessible location plus every donor-evidenced transaction, schedule or trigger","BehavioralReference","World baseline only; gameplay service absent","EvidenceCaptured","None","12A","Location access + complete service flow + UI/audio + save round-trip","Geometry presence is not implementation evidence"
"LOC-022","P1.SERVICE.022","Hospital/recovery endpoint candidate","AuthorityRecovery","No","No direct frozen04A1 evidence found","No implementation pending evidence","BehavioralReference","Nothing","Unknown","None","13B","Reachability/identity evidence","Prompt category is not donor proof"
"LOC-023","P1.SERVICE.023","Jail","AuthorityLocation","Yes","Frozen04A1 landmark/world/FSM evidence","Accessible location plus every donor-evidenced transaction, schedule or trigger","BehavioralReference","World baseline only; gameplay service absent","EvidenceCaptured","None","12A","Location access + complete service flow + UI/audio + save round-trip","Geometry presence is not implementation evidence"
"LOC-024","P1.SERVICE.024","Bus stops","TransportService","Yes","Frozen04A1 landmark/world/FSM evidence","Accessible location plus every donor-evidenced transaction, schedule or trigger","BehavioralReference","World baseline only; gameplay service absent","EvidenceCaptured","None","12A","Location access + complete service flow + UI/audio + save round-trip","Geometry presence is not implementation evidence"
"LOC-025","P1.SERVICE.025","Repair-shop dyno/lifter and service interactions","VehicleService","Yes","Frozen04A1 landmark/world/FSM evidence","Accessible location plus every donor-evidenced transaction, schedule or trigger","BehavioralReference","World baseline only; gameplay service absent","EvidenceCaptured","None","12A","Location access + complete service flow + UI/audio + save round-trip","Geometry presence is not implementation evidence"
"LOC-101","P1.SERVICE.101","Fleetari SKU: Body repair","VehicleServiceSKU","Yes","Frozen04A1 WOP service key BODY_REPAIR","Availability + request/order/pay/wait/result/cancel/retry","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Donor price/duration/failure + insufficient funds + persistence + UI/audio comparison","Parent Fleetari location/service"
"LOC-102","P1.SERVICE.102","Fleetari SKU: Brake service","VehicleServiceSKU","Yes","Frozen04A1 WOP service key BRAKES","Availability + request/order/pay/wait/result/cancel/retry","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Donor price/duration/failure + insufficient funds + persistence + UI/audio comparison","Parent Fleetari location/service"
"LOC-103","P1.SERVICE.103","Fleetari SKU: Engine adjustment","VehicleServiceSKU","Yes","Frozen04A1 WOP service key ENGINE_ADJUST","Availability + request/order/pay/wait/result/cancel/retry","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Donor price/duration/failure + insufficient funds + persistence + UI/audio comparison","Parent Fleetari location/service"
"LOC-104","P1.SERVICE.104","Fleetari SKU: Engine repair","VehicleServiceSKU","Yes","Frozen04A1 WOP service key ENGINE_REPAIR","Availability + request/order/pay/wait/result/cancel/retry","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Donor price/duration/failure + insufficient funds + persistence + UI/audio comparison","Parent Fleetari location/service"
"LOC-105","P1.SERVICE.105","Fleetari SKU: Engine tune","VehicleServiceSKU","Yes","Frozen04A1 WOP service key ENGINE_TUNE","Availability + request/order/pay/wait/result/cancel/retry","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Donor price/duration/failure + insufficient funds + persistence + UI/audio comparison","Parent Fleetari location/service"
"LOC-106","P1.SERVICE.106","Fleetari SKU: Gear linkage service","VehicleServiceSKU","Yes","Frozen04A1 WOP service key GEAR_LINKAGE","Availability + request/order/pay/wait/result/cancel/retry","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Donor price/duration/failure + insufficient funds + persistence + UI/audio comparison","Parent Fleetari location/service"
"LOC-107","P1.SERVICE.107","Fleetari SKU: Gear ratio change","VehicleServiceSKU","Yes","Frozen04A1 WOP service key GEAR_RATIOS","Availability + request/order/pay/wait/result/cancel/retry","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Donor price/duration/failure + insufficient funds + persistence + UI/audio comparison","Parent Fleetari location/service"
"LOC-108","P1.SERVICE.108","Fleetari SKU: N2O fill","VehicleServiceSKU","Yes","Frozen04A1 WOP service key N2O_FILL","Availability + request/order/pay/wait/result/cancel/retry","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Donor price/duration/failure + insufficient funds + persistence + UI/audio comparison","Parent Fleetari location/service"
"LOC-109","P1.SERVICE.109","Fleetari SKU: Paint job","VehicleServiceSKU","Yes","Frozen04A1 WOP service key PAINT","Availability + request/order/pay/wait/result/cancel/retry","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Donor price/duration/failure + insufficient funds + persistence + UI/audio comparison","Parent Fleetari location/service"
"LOC-110","P1.SERVICE.110","Fleetari SKU: Rim polish","VehicleServiceSKU","Yes","Frozen04A1 WOP service key RIM_POLISH","Availability + request/order/pay/wait/result/cancel/retry","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Donor price/duration/failure + insufficient funds + persistence + UI/audio comparison","Parent Fleetari location/service"
"LOC-111","P1.SERVICE.111","Fleetari SKU: Rollcage install","VehicleServiceSKU","Yes","Frozen04A1 WOP service key ROLLCAGE_INSTALL","Availability + request/order/pay/wait/result/cancel/retry","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Donor price/duration/failure + insufficient funds + persistence + UI/audio comparison","Parent Fleetari location/service"
"LOC-112","P1.SERVICE.112","Fleetari SKU: Rollcage removal","VehicleServiceSKU","Yes","Frozen04A1 WOP service key ROLLCAGE_REMOVE","Availability + request/order/pay/wait/result/cancel/retry","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Donor price/duration/failure + insufficient funds + persistence + UI/audio comparison","Parent Fleetari location/service"
"LOC-113","P1.SERVICE.113","Fleetari SKU: Suspension repair","VehicleServiceSKU","Yes","Frozen04A1 WOP service key SUSPENSION_REPAIR","Availability + request/order/pay/wait/result/cancel/retry","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Donor price/duration/failure + insufficient funds + persistence + UI/audio comparison","Parent Fleetari location/service"
"LOC-114","P1.SERVICE.114","Fleetari SKU: Tires Europeiska","VehicleServiceSKU","Yes","Frozen04A1 WOP service key TIRES_EUROPEISKA","Availability + request/order/pay/wait/result/cancel/retry","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Donor price/duration/failure + insufficient funds + persistence + UI/audio comparison","Parent Fleetari location/service"
"LOC-115","P1.SERVICE.115","Fleetari SKU: Tires Gommer","VehicleServiceSKU","Yes","Frozen04A1 WOP service key TIRES_GOMMER","Availability + request/order/pay/wait/result/cancel/retry","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Donor price/duration/failure + insufficient funds + persistence + UI/audio comparison","Parent Fleetari location/service"
"LOC-116","P1.SERVICE.116","Fleetari SKU: Tires Standard","VehicleServiceSKU","Yes","Frozen04A1 WOP service key TIRES_STANDARD","Availability + request/order/pay/wait/result/cancel/retry","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Donor price/duration/failure + insufficient funds + persistence + UI/audio comparison","Parent Fleetari location/service"
"LOC-117","P1.SERVICE.117","Fleetari SKU: Tires Sutasiko","VehicleServiceSKU","Yes","Frozen04A1 WOP service key TIRES_SUTASIKO","Availability + request/order/pay/wait/result/cancel/retry","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Donor price/duration/failure + insufficient funds + persistence + UI/audio comparison","Parent Fleetari location/service"
"LOC-118","P1.SERVICE.118","Fleetari SKU: Toe adjustment","VehicleServiceSKU","Yes","Frozen04A1 WOP service key TOE","Availability + request/order/pay/wait/result/cancel/retry","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Donor price/duration/failure + insufficient funds + persistence + UI/audio comparison","Parent Fleetari location/service"
"LOC-119","P1.SERVICE.119","Fleetari SKU: Windshield replacement","VehicleServiceSKU","Yes","Frozen04A1 WOP service key WINDSHIELD","Availability + request/order/pay/wait/result/cancel/retry","BehavioralReference","Nothing","EvidenceCaptured","None","12A","Donor price/duration/failure + insufficient funds + persistence + UI/audio comparison","Parent Fleetari location/service"
