"RosterId","FeatureId","Definition","Category","ParentFeatureId","Required","DonorEvidence","Classification","CurrentImplementation","Status","SaveCoverage","OwnerMilestone","AcceptanceEvidence","Notes"
"ITEMDEF-011","P1.ITEM.111","Cigarettes","Consumable","P1.ITEM.007","Yes","WOP:25935 CIGARETTES","Reimplemented","09C-N2 consumes one of 20 units, queues provisional stress/fatigue effects and publishes a smoking presentation event.","PartiallyImplemented","items.instances + player.needs schema 3; row-specific stream/manual proof pending","09C","Catalog rebuild and focused needs/save tests pass; manual donor comparison pending acquisition","Parent P1.ITEM.007; project-owned DefinitionId/StableEntityId. Temporary project-owned smoking viewmodel exists. Teimo/shop evidence is preserved and no invented home placement was added; acquisition, exact coefficients, final presentation and routed audio remain pending."
"ITEMDEF-012","P1.ITEM.112","Mosquito spray","Consumable","P1.ITEM.007","Yes","WOP:33924 MOSQUITO_SPRAY","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.007; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-013","P1.ITEM.113","Beer case","DrinkContainer","P1.ITEM.007","Yes","WOP:34454 BEER_CASE","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.007; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: A 24-child deterministic container is authored; bottle disposition/presentation and full use flow remain unverified."
"ITEMDEF-014","P1.ITEM.114","Beer bottle","DrinkContainer","P1.ITEM.007","Yes","WOP:21509 BEER_BOTTLE","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.007; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Beer liquid/consume state exists; roster evidence still points to beercase rather than a standalone Beer prefab and exact effects are unresolved."
"ITEMDEF-015","P1.ITEM.115","Booze bottle","DrinkContainer","P1.ITEM.007","Yes","Exported prefab BOOZE_BOTTLE","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.007; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Drink-container state exists; exact booze effects and presentation/use comparison remain unresolved."
"ITEMDEF-016","P1.ITEM.116","Loose sausage","Food","P1.ITEM.008","Yes","GameObject/sausage0.prefab; Mesh/sausage_fresh.asset; Texture2D/sausage_package.png","TemporaryDirectImport;Reimplemented","Physical loose sausage uses the reviewed sanitized donor mesh wrapper, inherits package freshness, consumes individually and progresses raw/cooked/burned by generic heat contact at captured 30/10-second thresholds.","PartiallyImplemented","Partial: items.instances.native.v1 persists individual freshness/timestamp/cooking seconds/consumed state and world.entities persists pose; explicit native round-trip passes","09B","Exact-four dispense, generated presentation validation, ambient/fridge decay, raw/cooked/burned transitions, state-specific effects and native round-trip pass automated tests","Parent P1.ITEM.008; project-owned DefinitionId/StableEntityId. Cube proxy removed. Cooked effects use captured values; burned/spoiled adverse values, state tint fidelity and manual presentation remain provisional."
"ITEMDEF-017","P1.ITEM.117","Sausage and potatoes meal","Food","P1.ITEM.008","Yes","Exported prefab SAUSAGE_POTATOES","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.008; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Captured consume effects are authored; exact donor meal presentation/use comparison remains pending."
"ITEMDEF-018","P1.ITEM.118","Pike","Perishable","P1.ITEM.009","Yes","Exported prefab PIKE","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.009; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-019","P1.ITEM.119","Moose meat","Perishable","P1.ITEM.009","Yes","Exported prefab MOOSE_MEAT","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.009; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-020","P1.ITEM.120","Brake fluid","ServiceFluid","P1.ITEM.005","Yes","Shop array; CarProducts anchors","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.005; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-021","P1.ITEM.121","Coolant","ServiceFluid","P1.ITEM.005","Yes","Shop array; CarProducts anchors","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.005; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-022","P1.ITEM.122","Motor oil","ServiceFluid","P1.ITEM.005","Yes","Shop array; CarProducts anchors","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.005; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-023","P1.ITEM.123","Two-stroke oil","ServiceFluid","P1.ITEM.005","Yes","Shop array; CarProducts anchors","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.005; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-024","P1.ITEM.124","Alternator belt","VehiclePartSupply","P1.ITEM.017","Yes","Shop array; CarProducts anchors","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.017; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-025","P1.ITEM.125","Oil filter","VehiclePartSupply","P1.ITEM.017","Yes","Shop array; CarProducts anchors","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.017; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-026","P1.ITEM.126","Sparkplug box","VehiclePartSupply","P1.ITEM.011","Yes","Shop array; CarProducts anchors","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.011; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-027","P1.ITEM.127","Lightbulb box","VehiclePartSupply","P1.ITEM.011","Yes","Shop array; CarProducts anchors","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.011; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-028","P1.ITEM.128","Fuse package","VehiclePartSupply","P1.ITEM.011","Yes","Shop array; CarProducts anchors","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.011; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-029","P1.ITEM.129","R20 battery","Battery","P1.ITEM.011","Yes","Shop array; CarProducts anchors","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.011; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-030","P1.ITEM.130","Car battery","Battery","P1.ITEM.011","Yes","Shop array; CarProducts anchors","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.011; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-031","P1.ITEM.131","Fire extinguisher","SafetySupply","P1.ITEM.012","Yes","Shop array; CarProducts anchors","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.012; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-032","P1.ITEM.132","Spray paint variants","ServiceSupply","P1.ITEM.017","Yes","GAME shop paint variants","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.017; project-owned DefinitionId/StableEntityId. Project-owned proxy fallback only; no reviewed donor wrapper is generated for this definition. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-033","P1.ITEM.133","Gasoline can","ToolContainer","P1.ITEM.004","Yes","WOP:8644 GASOLINE_CAN","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.004; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-034","P1.ITEM.134","Diesel can","ToolContainer","P1.ITEM.004","Yes","WOP:13272 DIESEL_CAN","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.004; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-035","P1.ITEM.135","Axe","Tool","P1.ITEM.003","Yes","WOP:3472 AXE","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.003; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-036","P1.ITEM.136","Digging bar","Tool","P1.ITEM.003","Yes","WOP:23704 DIGGING_BAR","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.003; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-037","P1.ITEM.137","Sledgehammer","Tool","P1.ITEM.003","Yes","WOP:32029 SLEDGEHAMMER","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.003; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-038","P1.ITEM.138","Spanner set","Tool","P1.ITEM.001","Yes","WOP:33457 SPANNER_SET","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.001; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-039","P1.ITEM.139","Wiring mess","Tool","P1.ITEM.001","Yes","WOP:29102 WIRING_MESS","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.001; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-040","P1.ITEM.140","Car jack","Tool","P1.ITEM.002","Yes","WOP:71 CAR_JACK","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.002; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-041","P1.ITEM.141","Floor jack","Tool","P1.ITEM.002","Yes","WOP:33712 FLOOR_JACK","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.002; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-042","P1.ITEM.142","Motor hoist","Tool","P1.ITEM.002","Yes","WOP:11154 MOTOR_HOIST","Reimplemented","09B catalog definition plus mutable stable instance schema; generic action/state/save support exists, donor-specific use flow remains incomplete.","PartiallyImplemented","Partial: items.instances.native.v1 + world.entities pose; row-specific round-trip/stream proof pending","09B","Catalog build exit 0; definition/state validation present; row-specific use/save/stream/manual donor comparison pending","Parent P1.ITEM.002; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated; manual visual comparison pending. 09B audit: Generic state/persistence boundary exists; donor-specific transitions, UI/audio and executed row comparison remain pending."
"ITEMDEF-043","P1.ITEM.143","Kilju bucket","Container","P1.ITEM.010","Yes","WOP:20811 KILJU_BUCKET","Reimplemented","Bucket body remains pickup/liquid authority; a separate project-owned F lid target drives the saved open state and state-owned contents presentation.","PartiallyImplemented","items.instances.native.v1 persists liquid/open state and world.entities persists pose; focused state round-trip passed","09B","Catalog and sanitized presentation validation passed; independent lid and empty-content tests passed; manual collision/audio acceptance pending","Parent P1.ITEM.010; project-owned DefinitionId/StableEntityId. Reviewed TemporaryDirectImport wrapper generated/validated. Body F no longer toggles; lid F does. Empty blue water/sugar/yeast helper meshes are state-hidden."
