"RosterId","FeatureId","VehicleRole","Class","Required","DonorEvidence","BehaviorSummary","Classification","CurrentImplementation","Status","LegacyPresentation","SaveCoverage","OwnerMilestone","AcceptanceEvidence","Notes"
"VEH-011","P1.VEHICLE.011","Public bus","PublicTransport","Yes","Locked 1,084-point BusRoute, two-hour timetable, three stop distances and BUS transform 65181","Time-driven route, stop dwell, physical residency, player riding, recovery and persistence","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","Persistent logical bus plus project-owned NWH physical wrapper and board/exit interaction","PartiallyImplemented","Sanitized BUS donor presentation behind project wrapper","Optional traffic.state schema 1 stores departure, route, dwell and pose","11B","Traffic 6/6 + Save 28/28 + NPC PlayMode 10/10; manual complete ride/streaming test pending","Ticket/payment, request button, door motion, passengers, dedicated Wwise audio and exact timing comparison remain open"
"VEH-012","P1.VEHICLE.012","Train","ScriptedTransport","Yes","Locked east/west endpoints, TRAIN transform 55611, 30 m/s speed and 250 simulation-second endpoint delay","Bidirectional route, endpoint wait, collision, streaming and persistence","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","Persistent logical/kinematic train with project-owned collider and streamed presentation","PartiallyImplemented","Sanitized TRAIN donor presentation behind project wrapper","Optional traffic.state schema 1 stores route, direction, delay and pose","11B","Traffic 6/6 + Save 28/28 + NPC PlayMode 10/10; manual complete traversal/collision test pending","Whistle/crossing warning, damage/death consequence, dedicated Wwise audio and manual collision safety remain open"
"VEH-013","P1.VEHICLE.013","Police patrol car","AuthorityAI","Yes","Frozen04A1 SATSUMA/vehicle/TRAFFIC/RALLY/DRAGRACE hierarchy","Complete role, controls or AI route, damage/state, recovery and persistence","BehavioralReference","Nothing","EvidenceCaptured","External frozen presentation; no wrapper","None","13B","Roster comparison + role flow + audio + recovery + unloaded-cell save round-trip","Grouped variants require exact multiplicity audit"
"VEH-014","P1.VEHICLE.014","Victro traffic car","AmbientTraffic","Yes","Locked GAME c3f2f337; three exact VehiclesHighway instances","Persistent Highway role, physical near-player motion, collision/recovery and save","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","Three stable persistent actors on exact Highway route; physical NWH wrappers within residency range","PartiallyImplemented","Replaceable sanitized Victro wrapper","traffic.state schema 1 additive ambient state","11B","T1 build + Traffic 5/5 + Save 28/28 + NPC PlayMode 10/10; manual long-drive/audio pending","Exact three-instance multiplicity preserved; damage and per-model Wwise media pending"
"VEH-015","P1.VEHICLE.015","Lamore traffic car","AmbientTraffic","Yes","Locked GAME c3f2f337; two exact VehiclesHighway instances","Persistent Highway role, physical near-player motion, collision/recovery and save","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","Two stable persistent actors on exact Highway route; physical NWH wrappers within residency range","PartiallyImplemented","Replaceable sanitized Lamore wrapper","traffic.state schema 1 additive ambient state","11B","T1 build + Traffic 5/5 + Save 28/28 + NPC PlayMode 10/10; manual long-drive/audio pending","Exact two-instance multiplicity preserved; damage and per-model Wwise media pending"
"VEH-016","P1.VEHICLE.016","Traffic truck","AmbientTraffic","Yes","Locked GAME c3f2f337; exact VehiclesHighway Truck instance","Persistent Highway role, physical near-player motion, collision/recovery and save","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","One stable persistent actor on exact Highway route; physical NWH wrapper within residency range","PartiallyImplemented","Replaceable sanitized Truck wrapper","traffic.state schema 1 additive ambient state","11B","T1 build + Traffic 5/5 + Save 28/28 + NPC PlayMode 10/10; manual long-drive/audio pending","Rear wheel pair selected from donor truck hierarchy; damage and per-model Wwise media pending"
"VEH-017","P1.VEHICLE.017","Polsa traffic car","AmbientTraffic","Yes","Locked GAME c3f2f337; exact VehiclesHighway Polsa instance","Persistent Highway role, physical near-player motion, collision/recovery and save","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","One stable persistent actor on exact Highway route; physical NWH wrapper within residency range","PartiallyImplemented","Replaceable sanitized Polsa wrapper","traffic.state schema 1 additive ambient state","11B","T1 build + Traffic 5/5 + Save 28/28 + NPC PlayMode 10/10; manual long-drive/audio pending","Damage and per-model Wwise media pending"
"VEH-018","P1.VEHICLE.018","Fittan traffic car","AmbientTraffic","Yes","Locked GAME c3f2f337; exact VehiclesHighway Fittan instance","Persistent Highway role, physical near-player motion, collision/recovery and save","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","One stable persistent actor on exact Highway route; physical NWH wrapper within residency range","PartiallyImplemented","Replaceable sanitized Fittan wrapper","traffic.state schema 1 additive ambient state","11B","T1 build + Traffic 5/5 + Save 28/28 + NPC PlayMode 10/10; manual long-drive/audio pending","Damage and per-model Wwise media pending"
"VEH-019","P1.VEHICLE.019","Svoboda traffic car","AmbientTraffic","Yes","Locked GAME c3f2f337; exact VehiclesHighway Svoboda instance","Persistent Highway role, physical near-player motion, collision/recovery and save","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","One stable persistent actor on exact Highway route; physical NWH wrapper within residency range","PartiallyImplemented","Replaceable sanitized Svoboda wrapper","traffic.state schema 1 additive ambient state","11B","T1 build + Traffic 5/5 + Save 28/28 + NPC PlayMode 10/10; manual long-drive/audio pending","Damage and per-model Wwise media pending"
"VEH-020","P1.VEHICLE.020","Menace traffic car","AmbientTraffic","Yes","Locked GAME c3f2f337; exact VehiclesHighway Menace instance and weekday/weekend chance","Persistent probabilistic Highway role, physical near-player motion, collision/recovery and save","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","One stable actor with deterministic 10 percent weekday / 40 percent weekend retries; physical NWH wrapper when spawned and resident","PartiallyImplemented","Replaceable sanitized Menace wrapper","traffic.state schema 1 stores spawn, route and attempt count","11B","T1 probability/catalog tests + Save 28/28 + NPC PlayMode 10/10; manual frequency comparison pending","Activation cadence and per-model Wwise media require donor/manual acceptance"
"VEH-021","P1.VEHICLE.021","KUSKI scripted car","ScriptedNPC","Yes","Frozen04A1 SATSUMA/vehicle/TRAFFIC/RALLY/DRAGRACE hierarchy","Complete role, controls or AI route, damage/state, recovery and persistence","BehavioralReference","Nothing","EvidenceCaptured","External frozen presentation; no wrapper","None","11B","Roster comparison + role flow + audio + recovery + unloaded-cell save round-trip","Grouped variants require exact multiplicity audit"
"VEH-022","P1.VEHICLE.022","Amis/Jani car","ScriptedNPC","Yes","Frozen04A1 KYLAJANI root, renderers, materials, wheels, driver, passenger anchor, formation transforms and road-AI/audio FSM configuration","Complete role, controls or AI route, damage/state, recovery and persistence","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","Exact Perajarvi formation; full Village/RoadRace/Highway return loop; NWH Rigidbody wheel contact; project-owned engine/clutch/gearbox/differential and physical throttle/brake/steering; donor 115-185 km/h range and Wed/Fri/Sat/Sun 16:00-02:00 gate; pass/reverse/drift/contact recovery, Suski visibility and spatial telemetry-driven engine/music audio","PartiallyImplemented","Hash-locked donor car/driver/audio presentation plus BetterMSC Suski passenger; licensed NWH 13.5 supplies wheel contact only; no donor scripts/FSMs/physics","npc.state document v13 covers driver route and passenger story flag; loaded route progress follows the physical chassis and survives wrapper streaming","11B","NWH EditMode 4/4 + physical PlayMode 5/5 + NPC EditMode 19/19 + NPC PlayMode 8/8; fresh 16:04 Perajarvi start and paired launch automated; manual full-loop comparison pending","Durable crash damage/story consequences and final Wwise mix remain pending"
"VEH-023","P1.VEHICLE.023","Amis/Petteri car","ScriptedNPC","Yes","Frozen04A1 AMIS2 root, renderers, materials, wheels, driver, shared formation transforms and road-AI/audio evidence","Complete role, controls or AI route, damage/state, recovery and persistence","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","Exact rear-offset Perajarvi formation and same-direction full Village/RoadRace/Highway return loop; NWH Rigidbody wheel contact; project-owned powertrain and physical controls; donor 115-185 km/h range and Wed/Fri/Sat/Sun 16:00-02:00 gate; pass/reverse/drift/contact recovery and spatial telemetry-driven engine audio","PartiallyImplemented","Hash-locked donor car/driver/audio presentation; licensed NWH 13.5 supplies wheel contact only; no donor scripts/FSMs/physics","npc.state document v13 covers driver route; loaded route progress follows the physical chassis and survives wrapper streaming","11B","NWH EditMode 4/4 + physical PlayMode 5/5 + NPC EditMode 19/19 + NPC PlayMode 8/8; fresh 16:04 Perajarvi start and paired launch automated; manual full-loop comparison pending","Durable rivalry/crash damage/story consequences and final Wwise mix remain pending"
"VEH-024","P1.VEHICLE.024","Rally competitor cars","EventVehicleGroup","Yes","Frozen04A1 SATSUMA/vehicle/TRAFFIC/RALLY/DRAGRACE hierarchy","Complete role, controls or AI route, damage/state, recovery and persistence","BehavioralReference","Nothing","EvidenceCaptured","External frozen presentation; no wrapper","None","13B","Roster comparison + role flow + audio + recovery + unloaded-cell save round-trip","Grouped variants require exact multiplicity audit"
"VEH-025","P1.VEHICLE.025","Drag-race cars","EventVehicleGroup","Yes","Frozen04A1 SATSUMA/vehicle/TRAFFIC/RALLY/DRAGRACE hierarchy","Complete role, controls or AI route, damage/state, recovery and persistence","BehavioralReference","Nothing","EvidenceCaptured","External frozen presentation; no wrapper","None","13C","Roster comparison + role flow + audio + recovery + unloaded-cell save round-trip","Grouped variants require exact multiplicity audit"
"VEH-026","P1.VEHICLE.026","AI boats","AmbientTraffic","Yes","Locked Waypoints1/Waypoints2 loops and exact AIboat1/AIboat2 scene actors","Two independent route actors with physical water traversal, streaming and persistence","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","Two persistent logical boats with Rigidbody force/turn/water-height control near the player","PartiallyImplemented","Two sanitized donor boat presentations behind project wrappers","Optional traffic.state schema 1 stores each boat route progress and pose","11B","Traffic 6/6 + Save 28/28 + NPC PlayMode 10/10; manual water traversal/streaming test pending","Speed/force calibration, wakes and dedicated Wwise audio remain open"
"VEH-027","P1.VEHICLE.027","Teimo bicycle","NPCPropTransport","Yes","Frozen04A1 SATSUMA/vehicle/TRAFFIC/RALLY/DRAGRACE hierarchy","Complete role, controls or AI route, damage/state, recovery and persistence","BehavioralReference","Nothing","EvidenceCaptured","External frozen presentation; no wrapper","None","10B","Roster comparison + role flow + audio + recovery + unloaded-cell save round-trip","Grouped variants require exact multiplicity audit"
"VEH-028","P1.VEHICLE.028","Police/checkpoint vehicle variants","AuthorityAI","Yes","Frozen04A1 SATSUMA/vehicle/TRAFFIC/RALLY/DRAGRACE hierarchy","Complete role, controls or AI route, damage/state, recovery and persistence","BehavioralReference","Nothing","EvidenceCaptured","External frozen presentation; no wrapper","None","13B","Roster comparison + role flow + audio + recovery + unloaded-cell save round-trip","Grouped variants require exact multiplicity audit"
"VEH-101","P1.VEHICLE.101","Wreck 01","JobVehicle","Yes","Frozen04A1 WOP individual vehicle evidence","Persistent identity, donor role/route/controls/damage/recovery and save","BehavioralReference","Nothing","EvidenceCaptured","External frozen presentation; no wrapper","None","11A","Identity/role + route or controls + collision/recovery + unloaded-cell save + audio comparison","Grouped parent does not replace individual identity"
"VEH-102","P1.VEHICLE.102","Wreck 02","JobVehicle","Yes","Frozen04A1 WOP individual vehicle evidence","Persistent identity, donor role/route/controls/damage/recovery and save","BehavioralReference","Nothing","EvidenceCaptured","External frozen presentation; no wrapper","None","11A","Identity/role + route or controls + collision/recovery + unloaded-cell save + audio comparison","Grouped parent does not replace individual identity"
"VEH-103","P1.VEHICLE.103","Wreck 03","JobVehicle","Yes","Frozen04A1 WOP individual vehicle evidence","Persistent identity, donor role/route/controls/damage/recovery and save","BehavioralReference","Nothing","EvidenceCaptured","External frozen presentation; no wrapper","None","11A","Identity/role + route or controls + collision/recovery + unloaded-cell save + audio comparison","Grouped parent does not replace individual identity"
"VEH-104","P1.VEHICLE.104","Wreck 04","JobVehicle","Yes","Frozen04A1 WOP individual vehicle evidence","Persistent identity, donor role/route/controls/damage/recovery and save","BehavioralReference","Nothing","EvidenceCaptured","External frozen presentation; no wrapper","None","11A","Identity/role + route or controls + collision/recovery + unloaded-cell save + audio comparison","Grouped parent does not replace individual identity"
"VEH-105","P1.VEHICLE.105","AI boat 01","AmbientTraffic","Yes","Locked Waypoints1 eight-point loop and AIboat1 transform 57586","Persistent identity, exact route, physical near-player traversal, recovery and save","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","Stable boat actor 01 with logical/physical streaming handoff","PartiallyImplemented","Sanitized AIboat1 presentation behind project wrapper","Optional traffic.state schema 1 stores route progress and pose","11B","Traffic 6/6 + Save 28/28 + NPC PlayMode 10/10; manual route/audio comparison pending","Force calibration, wake and dedicated Wwise event remain open"
"VEH-106","P1.VEHICLE.106","AI boat 02","AmbientTraffic","Yes","Locked Waypoints2 eight-point loop and AIboat2 transform 48730","Persistent identity, exact route, physical near-player traversal, recovery and save","BehavioralReference;ConfigurationTransferred;TemporaryDirectImport;Reimplemented","Stable boat actor 02 with logical/physical streaming handoff","PartiallyImplemented","Sanitized AIboat2 presentation behind project wrapper","Optional traffic.state schema 1 stores route progress and pose","11B","Traffic 6/6 + Save 28/28 + NPC PlayMode 10/10; manual route/audio comparison pending","Force calibration, wake and dedicated Wwise event remain open"
"VEH-107","P1.VEHICLE.107","Rally car 01","EventVehicle","Yes","Frozen04A1 WOP individual vehicle evidence","Persistent identity, donor role/route/controls/damage/recovery and save","BehavioralReference","Nothing","EvidenceCaptured","External frozen presentation; no wrapper","None","13B","Identity/role + route or controls + collision/recovery + unloaded-cell save + audio comparison","Grouped parent does not replace individual identity"
"VEH-108","P1.VEHICLE.108","Rally car 02","EventVehicle","Yes","Frozen04A1 WOP individual vehicle evidence","Persistent identity, donor role/route/controls/damage/recovery and save","BehavioralReference","Nothing","EvidenceCaptured","External frozen presentation; no wrapper","None","13B","Identity/role + route or controls + collision/recovery + unloaded-cell save + audio comparison","Grouped parent does not replace individual identity"
"VEH-109","P1.VEHICLE.109","Rally car 03","EventVehicle","Yes","Frozen04A1 WOP individual vehicle evidence","Persistent identity, donor role/route/controls/damage/recovery and save","BehavioralReference","Nothing","EvidenceCaptured","External frozen presentation; no wrapper","None","13B","Identity/role + route or controls + collision/recovery + unloaded-cell save + audio comparison","Grouped parent does not replace individual identity"
"VEH-110","P1.VEHICLE.110","Drag car 01","EventVehicle","Yes","Frozen04A1 WOP individual vehicle evidence","Persistent identity, donor role/route/controls/damage/recovery and save","BehavioralReference","Nothing","EvidenceCaptured","External frozen presentation; no wrapper","None","13C","Identity/role + route or controls + collision/recovery + unloaded-cell save + audio comparison","Grouped parent does not replace individual identity"
"VEH-111","P1.VEHICLE.111","Drag car 02","EventVehicle","Yes","Frozen04A1 WOP individual vehicle evidence","Persistent identity, donor role/route/controls/damage/recovery and save","BehavioralReference","Nothing","EvidenceCaptured","External frozen presentation; no wrapper","None","13C","Identity/role + route or controls + collision/recovery + unloaded-cell save + audio comparison","Grouped parent does not replace individual identity"
"VEH-112","P1.VEHICLE.112","Dirt-rally Fittan","EventVehicle","Yes","Frozen04A1 WOP individual vehicle evidence","Persistent identity, donor role/route/controls/damage/recovery and save","BehavioralReference","Nothing","EvidenceCaptured","External frozen presentation; no wrapper","None","13B","Identity/role + route or controls + collision/recovery + unloaded-cell save + audio comparison","Grouped parent does not replace individual identity"
